TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.26,1,Ding Liren,Wu Wenjin,,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'h6'], ['Bd2', 'Be6'], ['Rad1', 'Kc8'], ['Rfe1', 'b6'], ['a3', 'Kb7'], ['Bc1', 'Re8'], ['h3', 'c5\n'], ['Ne4', 'Ne7'], ['b3', 'a5'], ['Nc3', 'Nc6'], ['Bb2', 'c4'], ['bxc4', 'Bxc4'], ['Ne4', 'Be6'], ['Rd2', 'Be7\n'], ['Red1', 'Rd8'], ['Kf1', 'Rxd2'], ['Rxd2', 'a4'], ['Nd4', 'Nxd4'], ['Rxd4', 'b5'], ['f4', 'h5'], ['Kf2', 'Kc6\n'], ['Kf3', 'g6'], ['Ke3', 'Rd8'], ['Rxd8', 'Bxd8'], ['Kd4', 'Be7'], ['Bc1', 'Bf5'], ['Bb2', 'b4'], ['axb4', 'Bxb4\n'], ['c3', 'a3'], ['Ba1', 'Be7'], ['c4', 'Bxe4'], ['Kxe4', 'Kc5'], ['Kd3', 'Kb4'], ['g4', 'hxg4'], ['hxg4', 'Kb3\n'], ['f5', 'gxf5'], ['gxf5', 'Ka2'], ['Bc3', 'Kb1'], ['e6', 'fxe6'], ['fxe6', 'a2'], ['Ke4', 'Ba3'], ['Kd3', 'c6\n'], ['Bd4', 'a1=Q'], ['Bxa1', 'Kxa1'], ['Kd4', 'Be7'], ['c5', 'Kb2'], ['Kc4', 'Ka3']]",0-1
FIDE Candidates 2018,Berlin GER,2018.03.19,8.4,Ding Liren,"Aronian,L",,,A13,"[['c4', 'Nf6'], ['g3', 'e6'], ['Bg2', 'd5'], ['Nf3', 'dxc4'], ['Qa4+', 'Bd7'], ['Qxc4', 'c5'], ['d4', 'Bc6'], ['dxc5', 'Nbd7\n'], ['Be3', 'Bd5'], ['Qc2', 'Be4'], ['Qc1', 'Ng4'], ['b4', 'a5'], ['Bg5', 'f6'], ['Bd2', 'axb4'], ['Bxb4', 'Nxc5\n'], ['Bxc5', 'Rc8'], ['Qc4', 'Bxc5'], ['Qxe6+', 'Kf8'], ['Qxg4', 'Bb4+'], ['Nbd2', 'Bxd2+'], ['Nxd2', 'Bxg2\n'], ['Rg1', 'Bd5'], ['Rd1', 'Qc7'], ['Ne4', 'Rd8'], ['f3', 'Qe5'], ['Qf4', 'Qxf4'], ['gxf4', 'Kf7'], ['Nc3', 'Bc4\n'], ['a4', 'Rxd1+'], ['Kxd1', 'Rd8+'], ['Kc2', 'Rc8'], ['Kd2', 'Ba6'], ['Ne4', 'Kf8'], ['f5', 'Rd8+'], ['Ke3', 'Rd5\n'], ['Rc1', 'Rxf5'], ['Rc8+', 'Ke7'], ['Rc7+', 'Kf8'], ['Rc8+', 'Ke7'], ['Rc7+', 'Kf8'], ['Rc8+', '']]",1/2-1/2
FIDE Candidates 2018,Berlin GER,2018.03.20,9.2,"Caruana,F",Ding Liren,,,E00,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'd5'], ['Nf3', 'O-O'], ['O-O', 'c6'], ['Qb3', 'b6\n'], ['Nc3', 'Ba6'], ['cxd5', 'cxd5'], ['Ne5', 'Bb7'], ['Rfc1', 'Nc6'], ['Nxd5', 'Nxd4'], ['Nxe7+', 'Qxe7\n'], ['Qc4', 'Bxg2'], ['Qxd4', 'Rfd8'], ['Qf4', 'Bb7'], ['Bb4', 'Qe8'], ['Rc7', 'Nd5'], ['Qxf7+', 'Qxf7'], ['Rxf7', 'Ba6\n'], ['Ba3', 'Bxe2'], ['Rc1', 'Bh5'], ['Rb7', 'Be8'], ['Kg2', 'a5'], ['h4', 'Rdb8'], ['Rxb8', 'Rxb8'], ['g4', 'b5\n'], ['b3', 'b4'], ['Bb2', 'a4'], ['h5', 'Ra8'], ['Kg3', 'Kf8'], ['Nf3', 'Bd7'], ['Rc4', 'Kg8'], ['Ne5', 'Bb5\n'], ['Rc5', 'Be8'], ['Nc4', 'Bd7'], ['Ne5', 'Be8'], ['Bd4', 'Kf8'], ['f3', 'Ke7'], ['Kh4', 'Kf8'], ['Kg5', 'h6+\n'], ['Kh4', 'Kg8'], ['Kg3', 'Kh7'], ['Nd3', 'Kg8'], ['Rc1', 'axb3'], ['axb3', 'Kh7'], ['Nc5', 'Bf7'], ['Re1', 'Ne7\n'], ['Bb2', 'Nc6'], ['f4', 'Ra2'], ['Nd3', 'e5'], ['fxe5', 'Bxb3'], ['e6', 'Ra7'], ['Nc5', 'Bc4'], ['Nd7', 'Bb5\n'], ['Nf8+', 'Kg8'], ['Ng6', 'Ne7'], ['Ra1', 'Nc6'], ['Rd1', 'Kh7'], ['Rd5', 'Ba4'], ['Kf4', 'Bc2'], ['Rc5', 'Ba4\n'], ['g5', 'hxg5+'], ['Rxg5', 'Nd8'], ['Re5', 'Be8'], ['e7', '']]",1/2-1/2
FIDE Candidates 2018,Berlin GER,2018.03.22,10.3,Ding Liren,"So,W",,,D37,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Nf3', 'Nf6'], ['Bf4', 'O-O'], ['e3', 'b6'], ['cxd5', 'Nxd5'], ['Nxd5', 'Qxd5\n'], ['Be2', 'Bb7'], ['Bxc7', 'Qa5+'], ['Kf1', 'Nd7'], ['h4', 'Rac8'], ['Bf4', 'Rfd8'], ['Kg1', 'Bxf3'], ['Bxf3', 'e5\n'], ['Bg5', 'Bxg5'], ['hxg5', 'exd4'], ['Qxd4', 'Qxg5'], ['Rh5', 'Qf6'], ['Rd5', 'Qxd4'], ['Rxd4', 'Ne5\n'], ['Bd5', 'Nc6'], ['Rdd1', 'Kf8'], ['Bxc6', 'Rxd1+'], ['Rxd1', 'Rxc6'], ['Rd7', 'Rc2'], ['Rxa7', 'Rxb2\n'], ['a4', 'Ra2'], ['Rb7', 'Ra1+'], ['Kh2', 'Rxa4'], ['Rxb6', '']]",1/2-1/2
FIDE Candidates 2018,Berlin GER,2018.03.23,11.3,Ding Liren,"Grischuk,A",,,A35,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['e3', 'e6'], ['d4', 'd5'], ['a3', 'dxc4'], ['Bxc4', 'a6'], ['O-O', 'b5\n'], ['Ba2', 'Bb7'], ['Qe2', 'Qc7'], ['Bd2', 'Be7'], ['Rac1', 'c4'], ['e4', 'Rd8'], ['Be3', 'Ng4'], ['e5', 'Na5\n'], ['Bf4', 'Qb6'], ['Rcd1', 'h5'], ['h3', 'Nh6'], ['Bb1', 'Nb3'], ['Be3', 'Qc7'], ['Rfe1', 'Kf8'], ['d5', 'exd5\n'], ['e6', 'fxe6'], ['Ng5', 'Qd7'], ['Bg6', 'Bf6'], ['Bb6', 'Rc8'], ['Nxe6+', 'Kg8'], ['Nxd5', 'Bxd5'], ['Nf4', 'Nc1\n'], ['Qxh5', 'Nd3'], ['Nxd5', 'Nf7'], ['Qe2', 'Nfe5'], ['Be4', 'Rh4'], ['f4', 'Rxf4'], ['Nxf4', 'Nxf4'], ['Bh7+', 'Kh8\n'], ['Qe4', 'Qc6'], ['Bd4', 'Nxh3+'], ['Kh2', 'Ng5'], ['Qxc6', 'Rxc6'], ['Bc2', 'Ngf7'], ['Bxe5', 'Nxe5\n'], ['Rd5', 'Re6'], ['Kh3', 'Kg8'], ['b3', 'Kf7'], ['bxc4', 'Nxc4'], ['Rd7+', 'Be7'], ['Rxe6', 'Kxe6'], ['Ra7', 'Nxa3\n'], ['Rxa6+', 'Kd5'], ['Bh7', 'Nc4'], ['Kg4', 'Bf6'], ['Ra7', 'Kd4'], ['Bg8', 'Nd6'], ['Kf3', 'Kc5'], ['Ra8', 'b4\n'], ['Ke2', 'Bc3'], ['Kd3', 'Kb6'], ['Ke3', 'Kc6'], ['Kf4', 'Nb7'], ['Kf5', 'Nc5'], ['g4', 'Kb5'], ['g5', 'b3\n'], ['Kg6', 'Kb4'], ['Bd5', 'Bd4'], ['Kh7', 'Kc3'], ['g6', 'b2'], ['Ba2', 'Kc2'], ['Rb8', 'Ne4'], ['Rb4', 'Nc3\n'], ['Be6', 'Kc1'], ['Bf5', 'Be5'], ['Rb7', 'b1=Q'], ['Bxb1', 'Nxb1'], ['Rxg7', 'Nc3'], ['Re7', 'Bd4'], ['Rd7', 'Be5\n'], ['Kh6', 'Kc2'], ['Kg5', 'Kb3'], ['Kf5', 'Bh8'], ['Rb7+', 'Kc2'], ['Rh7', 'Bd4'], ['Ke6', 'Kb3'], ['Rd7', 'Bh8\n'], ['Rd8', 'Bg7'], ['Kf7', 'Be5'], ['Re8', 'Bd4'], ['Rb8+', 'Kc2'], ['Rb7', 'Be5'], ['Rb6', 'Bd4'], ['Rf6', 'Bxf6\n'], ['Kxf6', 'Nd5+'], ['Kf7', 'Ne3'], ['Kf6', 'Nd5+'], ['Kf7', 'Ne3'], ['g7', 'Nf5']]",1/2-1/2
FIDE Candidates 2018,Berlin GER,2018.03.24,12.1,"Mamedyarov,S",Ding Liren,,,D41,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'c5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'cxd4'], ['cxd4', 'Bb4+\n'], ['Bd2', 'Bxd2+'], ['Qxd2', 'O-O'], ['Bc4', 'Nd7'], ['O-O', 'b6'], ['Rad1', 'Bb7'], ['Rfe1', 'Rc8'], ['Bb3', 'Re8\n'], ['h3', 'Nf6'], ['Qf4', 'Nh5'], ['Qh2', 'h6'], ['Ne5', 'Nf6'], ['Qf4', 'b5'], ['Re3', 'Rc7'], ['Nd3', 'Rc3\n'], ['Nc5', 'Rxe3'], ['Qxe3', 'Bc6'], ['Rc1', 'Qb6'], ['f3', 'Rd8'], ['Kf2', 'a5'], ['g4', 'a4'], ['Bc2', 'Nd7\n'], ['Bd3', 'Nxc5'], ['Rxc5', 'b4'], ['Bc4', 'Bd7'], ['g5', 'hxg5'], ['Qxg5', 'Be8'], ['Qe7', 'b3'], ['axb3', 'a3\n'], ['b4', 'Ra8'], ['d5', 'a2'], ['dxe6', 'a1=Q'], ['exf7+', 'Bxf7'], ['Bxf7+', 'Kh7'], ['Qh4+', 'Qh6'], ['Rh5', 'Qa7+']]",0-1
FIDE Candidates 2018,Berlin GER,2018.03.26,13.2,Ding Liren,"Kramnik,V",,,A13,"[['c4', 'e6'], ['Nc3', 'c5'], ['Nf3', 'Nf6'], ['g3', 'b6'], ['e4', 'Bb7'], ['d3', 'd6'], ['Bg2', 'g6'], ['O-O', 'Bg7'], ['Re1', 'O-O\n'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['b3', 'Nbd7'], ['Ba3', 'Nc5'], ['b4', 'Ncd7'], ['b5', 'Ne8'], ['Rc1', 'Ne5\n'], ['Qe2', 'axb5'], ['Ndxb5', 'g5'], ['h3', 'f5'], ['exf5', 'Bxg2'], ['Kxg2', 'Rxa3'], ['Nxa3', 'Qa8+'], ['Qe4', 'Qxa3\n'], ['fxe6', 'Nf6'], ['Qe2', 'Qa8+'], ['f3', 'h5'], ['e7', 'Re8'], ['Ne4', 'g4'], ['hxg4', 'hxg4'], ['fxg4', 'Nfxg4\n'], ['Qd1', 'Bh6'], ['Rc3', 'Rxe7'], ['Qd5+', 'Qxd5'], ['cxd5', 'Ra7'], ['Re2', 'Nf7'], ['Kh3', 'Nge5'], ['Nxd6', 'Nxd6\n'], ['Rxe5', 'Bg7'], ['Rg5', 'Ne4'], ['Rc8+', 'Kh7'], ['Rh5+', 'Kg6'], ['Rh4', 'Ng5+'], ['Kg2', 'Rxa2+'], ['Kf1', 'Ra1+\n'], ['Ke2', 'Ra2+'], ['Kf1', 'Ra1+'], ['Ke2', 'Ra2+']]",1/2-1/2
FIDE Candidates 2018,Berlin GER,2018.03.27,14.2,"Karjakin,Sergey",Ding Liren,,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['d3', 'b5'], ['Bb3', 'd6'], ['a3', 'O-O\n'], ['Nc3', 'Bg4'], ['Be3', 'Nd4'], ['Bxd4', 'exd4'], ['Nd5', 'c5'], ['a4', 'Be6'], ['Nxf6+', 'Bxf6'], ['Bxe6', 'fxe6\n'], ['Qe2', 'Qd7'], ['b3', 'e5'], ['Ra2', 'b4'], ['Nd2', 'Rae8'], ['Raa1', 'Bd8'], ['g3', 'g5'], ['Nc4', 'Re6\n'], ['a5', 'Ref6'], ['f3', 'h5'], ['Nb6', 'Qf7'], ['Kg2', 'h4'], ['Nd5', 'h3+'], ['Kg1', 'Rxf3'], ['g4', 'Kg7\n'], ['Rxf3', 'Qxf3'], ['Qxf3', 'Rxf3'], ['Rf1', 'Rxf1+'], ['Kxf1', 'Bxa5'], ['Ne7', 'Kf6'], ['Nf5', 'Ke6\n'], ['Ng3', 'Bd8'], ['Nh1', 'a5'], ['Ke2', 'd5'], ['Nf2', 'Kd6'], ['exd5', 'Kxd5'], ['Ne4', 'Kc6'], ['Kd2', 'Be7\n'], ['Kc1', 'Kb5'], ['Kb2', 'a4'], ['Ka2', 'a3']]",1/2-1/2
China vs World Team 2018,Liaocheng CHN,2018.04.07,1.1,"Duda,J",Ding Liren,,,E10,"[['c4', 'Nf6'], ['Nf3', 'e6'], ['d4', 'd5'], ['g3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'Nbd7'], ['Qc2', 'c6\n'], ['Bf4', 'b6'], ['cxd5', 'cxd5'], ['Rc1', 'Bb7'], ['Nc3', 'Rc8'], ['Ne5', 'Nxe5'], ['Bxe5', 'Ne4'], ['Qd3', 'f6\n'], ['Bf4', 'g5'], ['Nxe4', 'gxf4'], ['Nc3', 'Bd6'], ['Qf3', 'fxg3'], ['hxg3', 'f5'], ['e3', 'Qg5'], ['Ne2', 'Qg4\n'], ['Qxg4+', 'fxg4'], ['Nf4', 'Kf7'], ['Rab1', 'Ba6'], ['Bf1', 'Bxf1'], ['Kxf1', 'Bxf4'], ['exf4', 'h5\n'], ['Ke2', 'Kg6'], ['Ke3', 'Kf5'], ['Rh1', 'Rh8'], ['Rh2', 'h4'], ['Rxh4', 'Rxh4'], ['gxh4', 'Rh8'], ['Rh1', 'Rh5\n'], ['a4', 'a5'], ['b3', 'Kf6'], ['f3', 'g3'], ['Rh3', 'Ke7'], ['f5', 'exf5'], ['Rxg3', 'Rxh4'], ['Rg6', 'f4+\n'], ['Kf2', 'Rh2+'], ['Rg2', 'Rh1'], ['Rg1', 'Rxg1'], ['Kxg1', 'Kf6'], ['Kg2', 'Kg5'], ['Kh3', 'Kh5'], ['Kh2', '']]",1/2-1/2
China vs World Team 2018,Liaocheng CHN,2018.04.07,2.4,Ding Liren,"Shankland,S",,,D12,"[['c4', 'c6'], ['Nf3', 'd5'], ['d4', 'Nf6'], ['e3', 'Bf5'], ['Nc3', 'a6'], ['Qb3', 'Ra7'], ['Nh4', 'Bc8'], ['Qc2', 'e6\n'], ['Nf3', 'Be7'], ['e4', 'dxe4'], ['Nxe4', 'Nbd7'], ['Bd3', 'Nxe4'], ['Bxe4', 'Nf6'], ['Bd3', 'c5'], ['dxc5', 'Bxc5\n'], ['O-O', 'O-O'], ['Rd1', 'Qe7'], ['Bg5', 'h6'], ['Bh4', 'b6'], ['Ne5', 'g5'], ['Bg3', 'Bb7'], ['Qe2', 'Raa8\n'], ['Kh1', 'Rad8'], ['f4', 'Rd4'], ['fxg5', 'hxg5'], ['b4', 'Bxb4'], ['Bh7+', 'Kxh7'], ['Rxd4', 'Bc5'], ['Rd3', 'Kg7\n'], ['Rf1', 'Be4'], ['Nc6', 'Qb7'], ['Be5', 'Qxc6'], ['Bxf6+', 'Kg8'], ['Rh3', '']]",1-0
China vs World Team 2018,Liaocheng CHN,2018.04.07,3.2,"Vidit,S",Ding Liren,,,D45,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'c6'], ['e3', 'Nbd7'], ['Qc2', 'Bd6'], ['Be2', 'O-O'], ['O-O', 'b6\n'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4'], ['Qxe4', 'Bb7'], ['Bd3', 'Nf6'], ['Qh4', 'c5'], ['Rd1', 'Rc8'], ['Be3', 'cxd4\n'], ['Bxd4', 'h6'], ['Be2', 'Ne8'], ['Qxd8', 'Rxd8'], ['Be5', 'f6'], ['Bc3', 'Nc7'], ['Nd4', 'a5'], ['Bg4', 'Kf7\n'], ['Re1', 'e5'], ['Nf5', 'Bc5'], ['Rad1', 'Ne6'], ['Ne3', 'Nf4'], ['g3', 'Nd3'], ['Re2', 'Bxe3'], ['Rxe3', 'Nc5\n'], ['f4', 'Rxd1+'], ['Bxd1', 'Rd8'], ['Bc2', 'exf4'], ['gxf4', 'g5'], ['fxg5', 'hxg5'], ['Re2', 'Rd6'], ['Kf2', 'Nd3+\n'], ['Bxd3', 'Rxd3'], ['Rd2', 'Rf3+'], ['Kg1', 'Ke7'], ['Rf2', 'Rxf2'], ['Kxf2', 'Be4'], ['Bd4', 'Bb1'], ['a4', 'Bc2\n'], ['Bxb6', 'Bxa4'], ['Bxa5', 'Bb3'], ['c5', 'Ba4'], ['Ke3', 'Ke6'], ['Bd8', 'Bb5'], ['Kd4', 'g4'], ['Kc3', 'Kd5\n'], ['Bxf6', 'Kxc5']]",1/2-1/2
China vs World Team 2018,Liaocheng CHN,2018.04.07,4.5,Ding Liren,"Dubov,Daniil",,,A20,"[['c4', 'e5'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['Nc3', 'Nxc3'], ['bxc3', 'Nc6'], ['Nf3', 'Bc5'], ['O-O', 'O-O\n'], ['d3', 'Rb8'], ['a4', 'Be6'], ['Ng5', 'Bg4'], ['Ne4', 'Be7'], ['Ba3', 'Bxa3'], ['Rxa3', 'b6'], ['Re1', 'Qe7\n'], ['Ra1', 'Rbd8'], ['Qb3', 'Bc8'], ['Qa3', 'Qd7'], ['Nd2', 'Bb7'], ['Nc4', 'a5'], ['Nxe5', 'Nxe5'], ['Bxb7', 'c6\n'], ['d4', 'Qxb7'], ['dxe5', 'Rd5'], ['f4', 'Rfd8'], ['Qb3', 'b5'], ['c4', 'Rd4'], ['cxb5', 'cxb5'], ['axb5', 'Rb4\n'], ['Qe3', 'Rxb5'], ['e6', 'Re8'], ['exf7+', 'Qxf7'], ['Qf2', 'Qb7'], ['Ra4', 'h5'], ['e4', 'Rb4'], ['Rxa5', 'Rbxe4\n'], ['Qa2+', 'Kh7'], ['Rxh5+', 'Kg6'], ['Rg5+', 'Kh6'], ['Rxe4', 'Qxe4'], ['Qd5', 'Qe1+'], ['Kg2', 'Re2+\n'], ['Kh3', 'g6'], ['Qd3', 'Re6'], ['Kh4', 'Qf2'], ['h3', 'Rf6'], ['Qe4', 'Qb2'], ['Re5', 'Qb6'], ['Qe3', 'Qd8\n'], ['Kg4', 'Qc8+'], ['Kh4', 'Qd8'], ['Kg4', 'Qc8+'], ['f5+', 'Kg7'], ['Qc5', 'gxf5+'], ['Rxf5', 'Qd7'], ['Qe5', 'Qd1+\n'], ['Kh4', '']]",1-0
China vs World Team 2018,Liaocheng CHN,2018.04.07,5.3,"Bacrot,E",Ding Liren,,,C50,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'Bc5'], ['c3', 'O-O'], ['O-O', 'd6'], ['h3', 'a5'], ['Re1', 'h6'], ['Nbd2', 'Be6\n'], ['Bb5', 'Qb8'], ['Nh4', 'Ne7'], ['Ndf3', 'c6'], ['Ba4', 'Qc7'], ['d4', 'Ba7'], ['Bc2', 'Rad8'], ['Be3', 'd5\n'], ['exd5', 'exd4'], ['Nxd4', 'Bxd5'], ['Qe2', 'Rfe8'], ['Rad1', 'Bb8'], ['g3', 'c5'], ['Nb5', 'Qc8'], ['c4', 'Bc6\n'], ['Rxd8', 'Rxd8'], ['Kh2', 'Re8'], ['Qd2', 'Qd7'], ['Bxh6', 'gxh6'], ['Qxh6', 'Ng6'], ['Nf5', 'Nh5'], ['Rxe8+', 'Qxe8\n'], ['Qxh5', 'Qe1'], ['Nh6+', 'Kf8'], ['Qxc5+', 'Ne7']]",0-1
China vs World Team 2018,Liaocheng CHN,2018.04.07,6.1,Ding Liren,"Duda,J",,,D78,"[['Nf3', 'd5'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d4', 'Nf6'], ['O-O', 'O-O'], ['c4', 'c6'], ['Ne5', 'Ng4'], ['Nf3', 'dxc4\n'], ['Qc2', 'b5'], ['a4', 'Bb7'], ['Nc3', 'a6'], ['Rd1', 'Nd7'], ['e4', 'Qb6'], ['h3', 'Ngf6'], ['Be3', 'e6'], ['Nd2', 'Qc7\n'], ['b4', 'Rfe8'], ['Rab1', 'Rad8'], ['f4', 'Nh5'], ['Bf2', 'e5'], ['fxe5', 'Nxe5'], ['dxe5', 'Bxe5'], ['Nf1', 'Nxg3\n'], ['Nxg3', 'Bxg3'], ['Rxd8', 'Rxd8'], ['Rd1', 'Be5'], ['Rxd8+', 'Qxd8'], ['axb5', 'axb5'], ['Qd1', 'Qf6\n'], ['Ne2', 'Bc8'], ['Bd4', 'Qd6'], ['Qd2', 'f6'], ['Qc3', 'Be6'], ['Bxe5', 'fxe5'], ['Kf2', 'Kg7'], ['Bf1', 'Bf7\n'], ['Nc1', 'c5'], ['Na2', 'Qd4+'], ['Qxd4', 'cxd4'], ['Nc1', 'h5'], ['Ne2', 'Kf6'], ['Ng1', 'g5'], ['Ne2', 'g4\n'], ['h4', 'Ke7'], ['Ke1', 'Kd6'], ['Ng3', 'Bg6'], ['Kd2', 'Ke7'], ['Be2', 'Kf6'], ['Bf1', 'Ke7'], ['Be2', '']]",1/2-1/2
China vs World Team 2018,Liaocheng CHN,2018.04.09,7.4,"Shankland,S",Ding Liren,,,,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Ne2', 'Re8'], ['a3', 'Bf8'], ['Ng3', 'd5'], ['Be2', 'b6\n'], ['cxd5', 'exd5'], ['O-O', 'Bb7'], ['b4', 'Nbd7'], ['Qb3', 'c6'], ['Bf3', 'a5'], ['b5', 'c5'], ['Nxd5', 'a4\n'], ['Qa2', 'Nxd5'], ['Bxd5', 'Bxd5'], ['Qxd5', 'cxd4'], ['exd4', 'Nf6'], ['Qf3', 'Qxd4'], ['Bg5', 'Qd5\n'], ['Bxf6', 'Qxf3'], ['gxf3', 'gxf6'], ['Ne4', 'Re6'], ['Rfc1', 'Ra5'], ['Rc4', 'Rxb5'], ['Rxa4', 'Ra5\n'], ['Rxa5', 'bxa5'], ['a4', 'f5'], ['Ng3', 'f4'], ['Nh5', 'Rg6+'], ['Kh1', 'Bd6'], ['Rc1', 'f5'], ['Rc4', 'Rh6\n'], ['Rd4', 'Kf7'], ['Nxf4', 'Be5'], ['Rc4', 'Rh4'], ['Nd3', 'Rxh2+'], ['Kg1', 'Bd6'], ['Rd4', 'Rh6'], ['Rd5', 'Ke6\n'], ['Rxa5', 'Rh4'], ['Kf1', 'h5'], ['Ra8', 'Rh1+'], ['Ke2', 'h4'], ['Rh8', 'h3'], ['f4', 'Ra1'], ['Rxh3', 'Rxa4\n'], ['Rh6+', 'Ke7'], ['Ke3', 'Re4+'], ['Kf3', 'Rd4'], ['Ne5', 'Bxe5'], ['fxe5', 'Re4']]",1/2-1/2
China vs World Team 2018,Liaocheng CHN,2018.04.09,8.2,Ding Liren,"Vidit,S",,,E60,"[['d4', 'Nf6'], ['c4', 'g6'], ['f3', 'c5'], ['d5', 'e6'], ['Nh3', 'd6'], ['Nf2', 'b5'], ['e4', 'Bg7'], ['dxe6', 'Bxe6'], ['cxb5', 'O-O\n'], ['Be2', 'd5'], ['O-O', 'a6'], ['a4', 'axb5'], ['Bxb5', 'Qb6'], ['Nc3', 'dxe4'], ['Nfxe4', 'Nxe4'], ['Nxe4', 'Bd4+\n'], ['Kh1', 'Nc6'], ['Bh6', 'Rfd8'], ['Qe1', 'Nb4'], ['Qh4', 'Bf5'], ['Bg5', 'Rd5'], ['Bc4', 'Rd7'], ['Rad1', 'Nc2\n'], ['b3', 'Na3'], ['Bf6', 'Nxc4'], ['Rxd4', 'Nd6'], ['Qh6', 'Ne8'], ['Rxd7', 'Bxd7'], ['Be7', '']]",1-0
China vs World Team 2018,Liaocheng CHN,2018.04.09,9.5,"Dubov,Daniil",Ding Liren,,,B48,"[['e4', 'c5'], ['Nc3', 'e6'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Qc7'], ['Be3', 'a6'], ['Bd3', 'Nf6'], ['O-O', 'Ne5\n'], ['h3', 'Bc5'], ['Qe2', 'd6'], ['Rad1', 'O-O'], ['f4', 'Ng6'], ['f5', 'Ne5'], ['g4', 'h6'], ['Nf3', 'exf5'], ['Nxe5', 'dxe5\n'], ['gxf5', 'b5'], ['Kh2', 'Bb7'], ['Rg1', 'Kh7'], ['Rg3', 'Rg8'], ['Rdg1', 'b4'], ['Na4', 'Bxe3'], ['Qxe3', 'a5\n'], ['b3', 'Rad8'], ['R1g2', 'Rd4'], ['Qg1', 'Nh5'], ['Rg4', 'Qd6'], ['Nb2', 'Qf6'], ['Nc4', 'Nf4'], ['Qxd4', 'exd4\n'], ['Rxf4', 'Qd8'], ['Rg3', 'Ba6'], ['e5', 'Bxc4'], ['bxc4', 'Kh8'], ['Kg2', 'Re8'], ['Re4', 'Qd7'], ['Rf3', 'Kg8\n'], ['h4', 'a4'], ['Kf2', 'Qc7'], ['e6', 'Qh2+'], ['Kf1', 'Kf8'], ['c5', 'Ke7'], ['f6+', 'gxf6'], ['exf7+', 'Kxf7\n'], ['Bc4+', 'Kf8'], ['Rxf6+', 'Kg7'], ['Rf7+', 'Kg6'], ['Rxe8', 'Qh3+'], ['Ke2', 'Qg2+'], ['Rf2', 'Qg4+\n'], ['Kd2', '']]",1-0
China vs World Team 2018,Liaocheng CHN,2018.04.09,10.3,Ding Liren,"Bacrot,E",,,A49,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'c5'], ['c4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'O-O'], ['O-O', 'Qa5\n'], ['e3', 'd6'], ['h3', 'Bd7'], ['Qe2', 'Rfc8'], ['Rd1', 'a6'], ['Bd2', 'Qd8'], ['Rac1', 'Rab8'], ['Nxc6', 'Bxc6\n'], ['e4', 'Nd7'], ['Bg5', 'h6'], ['Be3', 'b5'], ['cxb5', 'axb5'], ['Nd5', 'Kh7'], ['Nb4', 'Bb7'], ['Rxc8', 'Qxc8\n'], ['Rc1', 'Qd8'], ['b3', 'Qa5'], ['Nd5', 'e6'], ['Rc7', 'Ne5'], ['b4', 'Qa4'], ['f4', 'Nc4'], ['Rxf7', 'Kg8\n'], ['Rxg7+', 'Kxg7'], ['Bd4+', 'Kf7'], ['f5', 'exd5'], ['fxg6+', 'Kg8'], ['exd5', 'Ne5'], ['Bxe5', 'Qa7+\n'], ['Kh2', 'dxe5'], ['Qxe5', 'Ba8'], ['Qe6+', 'Kg7'], ['Qe5+', 'Kg8'], ['Qe6+', 'Kg7'], ['Qe5+', 'Kg8']]",1/2-1/2
