URS-ch sf,Leningrad,1954.??.??,?,"Chekhover, Vitaly","Gurevich, Dmitry",,,D32,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c5'], ['cxd5', 'cxd4'], ['Qa4+', 'Bd7'], ['Qxd4', 'exd5'], ['Qxd5', 'Nc6'], ['a3', 'Nf6\n'], ['Qd1', 'Bc5'], ['e3', 'Qe7'], ['Nf3', 'O-O-O'], ['Qc2', 'g5'], ['Be2', 'g4'], ['Nd2', 'Kb8'], ['O-O', 'Bb6\n'], ['Rd1', 'Ne5'], ['Nf1', 'h5'], ['e4', 'Rdg8'], ['Be3', 'Bc7'], ['Rac1', 'h4'], ['Nd5', 'Nxd5'], ['exd5', 'Bd6\n'], ['Qc3', 'Bc8'], ['Qa5', 'b6'], ['Bxb6', 'axb6'], ['Rxc8+', 'Rxc8'], ['Qxb6+', 'Ka8'], ['Qa6+', 'Kb8\n'], ['Qb6+', 'Ka8']]",1/2-1/2
National Open 2017,Las Vegas USA,2017.06.17,4.6,"Moradiabadi,E","Gurevich,D",,,E10,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['d4', 'a6'], ['Nc3', 'c5'], ['e4', 'cxd4'], ['Nxd4', 'Qc7'], ['a3', 'b6'], ['Be3', 'Bb7\n'], ['f3', 'Be7'], ['Be2', 'O-O'], ['Rc1', 'd6'], ['O-O', 'Nbd7'], ['Qd2', 'Rac8'], ['Rfd1', 'Qb8'], ['Bf1', 'Rfe8\n'], ['b4', 'Bd8'], ['Kh1', 'Bc7'], ['Nde2', 'Ne5'], ['Ng3', 'Ng6'], ['Qf2', 'Bc6'], ['a4', 'h5'], ['Be2', 'h4\n'], ['Nf1', 'Ba8'], ['c5', 'bxc5'], ['bxc5', 'dxc5'], ['Rb1', 'Bb7'], ['Bxa6', 'Bxa6'], ['Rxb8', 'Bxb8'], ['Bxc5', 'h3\n'], ['gxh3', 'Nf4'], ['Nb5', 'Nxh3'], ['Qe3', 'Bf4'], ['Qa3', 'g5'], ['Ng3', 'g4'], ['Ne2', 'Be5'], ['Ng1', 'Nf4\n'], ['Bd6', 'Bxd6'], ['Qxd6', 'Bxb5'], ['Qxf4', 'Bxa4'], ['Ra1', 'Ra8']]",1-0
National Open 2017,Las Vegas USA,2017.06.18,6.10,"Ginsburg,M","Gurevich,D",,,A13,"[['c4', 'e6'], ['Nf3', 'd5'], ['b3', 'Nf6'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['O-O', 'd4'], ['d3', 'Bd6'], ['e3', 'O-O'], ['exd4', 'cxd4\n'], ['Ba3', 'e5'], ['b4', 'a6'], ['Qb3', 'h6'], ['Nbd2', 'Be6'], ['Rfe1', 'Re8'], ['Rab1', 'Qd7'], ['Rec1', 'b5\n'], ['Qd1', 'Rac8'], ['Ne1', 'Rc7'], ['Qe2', 'Rb8'], ['Nc2', 'bxc4'], ['Nxc4', 'Rb5'], ['Bb2', 'Nxb4'], ['Nxd6', 'Qxd6\n'], ['a4', 'Rb8'], ['Nxb4', 'Rxb4'], ['Rxc7', 'Qxc7'], ['Rc1', 'Qb8'], ['Ba3', 'Rxa4'], ['Bc5', 'Ra2'], ['Qe1', 'Ng4\n'], ['Rb1', 'Qc7'], ['Qe4', 'Nxf2'], ['Qa8+', 'Kh7'], ['Qf8', 'Nh3+'], ['Kh1', 'Rxg2']]",0-1
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.22,1.2,"Ovsejevitsch,S","Gurevich,Daniel",,,A09,"[['Nf3', 'd5'], ['c4', 'dxc4'], ['e3', 'Nf6'], ['Bxc4', 'e6'], ['O-O', 'c5'], ['Qe2', 'Nc6'], ['d4', 'a6'], ['dxc5', 'Bxc5\n'], ['e4', 'b5'], ['Bb3', 'Bb7'], ['e5', 'Nd5'], ['Rd1', 'Qb6'], ['Bxd5', 'exd5'], ['Nc3', 'Nd4'], ['Nxd4', 'Bxd4\n'], ['a4', 'O-O'], ['axb5', 'Bxc3'], ['bxc3', 'Qxb5'], ['Qg4', 'Bc8'], ['Qg3', 'Bf5'], ['Be3', 'a5'], ['Bd4', 'Bg6\n'], ['h4', 'Qd7'], ['Rd2', 'h5'], ['Rda2', 'a4'], ['e6', 'Qxe6'], ['Rxa4', 'Rxa4'], ['Rxa4', 'Re8'], ['Kh2', 'Kh7\n'], ['Ra7', 'Re7'], ['Rxe7', '']]",1/2-1/2
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.23,2.4,"Gurevich,Daniel","Drozdowski,K",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'Nc6'], ['Nf3', 'g6'], ['d5', 'Nb8'], ['Bg5', 'Bg7'], ['Qd2', 'O-O'], ['Bc4', 'Bg4\n'], ['Qf4', 'Bxf3'], ['Qxf3', 'c6'], ['O-O', 'Nbd7'], ['Qe2', 'Rc8'], ['a3', 'h6'], ['Bd2', 'b5'], ['Ba2', 'cxd5\n'], ['exd5', 'a6'], ['Rfe1', 'Re8'], ['Rad1', 'Nb6'], ['Bc1', 'Qd7'], ['Ne4', 'a5'], ['Qd3', 'Na4'], ['Ng3', 'Ng4\n'], ['h3', 'Ne5'], ['Qd2', 'Nc4'], ['Bxc4', 'bxc4'], ['c3', 'Nc5'], ['Re3', 'a4'], ['Qe2', 'Nd3'], ['Qg4', 'Qxg4\n'], ['hxg4', 'Rc5'], ['Rdxd3', 'cxd3'], ['Rxd3', 'Rb8'], ['Ne4', 'Ra5'], ['Kf1', 'Rbb5'], ['c4', 'Rb8'], ['Bd2', 'Ra7\n'], ['Bb4', 'Bxb2'], ['Nc3', 'Rc8'], ['Nb5', 'Rb7']]",0-1
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.24,3.3,"Schnider,G","Gurevich,Daniel",,,B10,"[['e4', 'c6'], ['c4', 'd5'], ['cxd5', 'cxd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nf3', 'Nc6'], ['d4', 'Bf5'], ['Bb5', 'e6\n'], ['O-O', 'Nxc3'], ['bxc3', 'a6'], ['Bxc6+', 'bxc6'], ['Qa4', 'Qb6'], ['c4', 'Bb4'], ['Be3', 'O-O'], ['Ne5', 'Bc3\n'], ['Rad1', 'Qb2'], ['Nd3', 'Qe2'], ['Nf4', 'Qb2'], ['Nd3', 'Qe2'], ['Nf4', '']]",1/2-1/2
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.25,4.3,"Gurevich,Daniel","Krejci,Jan2",,,C48,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['Bb5', 'Bd6'], ['d3', 'h6'], ['a3', 'O-O'], ['g4', 'Nd4'], ['Bc4', 'Be7\n'], ['Rg1', 'd6'], ['h3', 'Be6'], ['g5', 'hxg5'], ['Bxg5', 'Nh7'], ['Bh6', 'Bf6'], ['Nxd4', 'exd4'], ['Nd5', 'Bxd5\n'], ['Bxd5', 'Kh8'], ['Bf4', 'c6'], ['Bb3', 'd5'], ['Qg4', 'dxe4'], ['dxe4', 'Re8'], ['f3', 'Bh4+'], ['Ke2', 'Qf6\n'], ['Kf1', 'd3'], ['e5', 'Rxe5'], ['Bxe5', 'Qxe5'], ['Kg2', 'Bg5'], ['Qe4', 'Qxb2'], ['Qxd3', 'Qf6'], ['Qd7', 'Bf4\n'], ['Rae1', 'Ng5'], ['h4', 'Ne6'], ['Bxe6', 'Rd8'], ['Bf5', 'g6'], ['Re8+', 'Rxe8'], ['Qxe8+', 'Kg7'], ['Be4', 'Qd6\n'], ['Rf1', 'Qd2+'], ['Rf2', 'Qe1'], ['h5', 'gxh5'], ['Qe7', 'Be3'], ['Qe5+', 'Kf8'], ['Qd6+', 'Kg7'], ['Qg3+', 'Kf8\n'], ['a4', 'Bxf2'], ['Qxf2', 'Qa5'], ['Qd4', 'Qg5+'], ['Kh3', 'Kg8'], ['Qxa7', 'h4'], ['Qf2', 'f5'], ['Bd3', 'Qf4\n'], ['Qxh4', '']]",1-0
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.26,5.4,"Simacek,P","Gurevich,Daniel",,,B18,"[['e4', 'c6'], ['Nc3', 'd5'], ['d4', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['h4', 'h6'], ['f4', 'e6'], ['Nf3', 'Nd7\n'], ['h5', 'Bh7'], ['Bd3', 'Bxd3'], ['Qxd3', 'Qc7'], ['Bd2', 'O-O-O'], ['O-O-O', 'Bd6'], ['Rh4', 'Ngf6'], ['Ne4', 'Nxe4\n'], ['Qxe4', 'Nf6'], ['Qe2', 'Kb8'], ['Ne5', 'c5'], ['Be3', 'Nd5'], ['dxc5', 'Bxe5'], ['fxe5', 'Nxe3'], ['Qxe3', 'Rxd1+\n'], ['Kxd1', 'Qc6'], ['Rd4', 'Qxg2'], ['Rd7', 'Kc8'], ['Qd4', 'Qf3+'], ['Kd2', 'Qc6'], ['Rd6', 'Qg2+'], ['Kc3', 'Qf3+\n'], ['Kb4', 'f6'], ['c6', 'fxe5'], ['Qxa7', 'bxc6'], ['Rd7', 'c5+'], ['Kb5', '']]",1-0
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.27,6.2,"Gurevich,Daniel","Biolek,R1",,,B54,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['f3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['Be3', 'Nc6\n'], ['Qd2', 'Bd7'], ['Be2', 'Qa5'], ['Nb3', 'Qb4'], ['Qc2', 'Na5'], ['Nd2', 'Nc6'], ['O-O', 'Rfc8'], ['Rfc1', 'Qa5\n'], ['a3', 'Qh5'], ['Nf1', 'Bh6'], ['Qd2', 'Bxe3+'], ['Qxe3', 'Qc5'], ['Rd1', 'Be6'], ['Nd5', 'Bxd5'], ['exd5', 'Qxe3+\n'], ['Nxe3', 'Ne5'], ['Rac1', 'Rc7'], ['Rc3', 'Rac8'], ['Rdc1', 'Kf8'], ['Kf2', 'e6'], ['dxe6', 'fxe6'], ['Nc2', 'Ke7\n'], ['Nd4', 'Nc6'], ['Nb5', 'Rd7'], ['Re3', 'a6'], ['Nc3', 'Nd4'], ['Bd3', 'Kf7'], ['g4', 'h6'], ['Kg3', 'g5\n'], ['h4', 'Rdd8'], ['Rh1', 'Rh8'], ['Ne4', 'Nxe4+'], ['Bxe4', 'gxh4+'], ['Rxh4', 'Rxc4'], ['Bxb7', 'Rc2\n'], ['Bxa6', 'Rxb2'], ['Rc3', 'Ne2+'], ['Bxe2', '']]",1/2-1/2
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.28,7.5,"Cernousek,L","Gurevich,Daniel",,,D26,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'dxc4'], ['e3', 'e6'], ['Bxc4', 'c5'], ['O-O', 'Nc6'], ['Qe2', 'a6'], ['a3', 'b6\n'], ['dxc5', 'bxc5'], ['Nc3', 'Qc7'], ['Bd2', 'Bd6'], ['Rac1', 'O-O'], ['Rc2', 'Bb7'], ['h3', 'Rfc8'], ['Rfc1', 'Na5\n'], ['Ba2', 'Bc6'], ['e4', 'Nd7'], ['b4', 'Nb7'], ['bxc5', 'Nbxc5'], ['Nd4', 'Bb7'], ['Na4', 'Qd8'], ['Bb4', 'Nxa4\n'], ['Bxd6', 'Qb6'], ['Rxc8+', 'Rxc8'], ['Rxc8+', 'Bxc8'], ['Qc4', 'Qxd6'], ['Qxc8+', 'Nf8'], ['Nc6', 'Qxa3\n'], ['Qxa6', 'g6'], ['Bc4', 'Qc1+'], ['Bf1', 'Nc5'], ['Qe2', 'Nfd7'], ['Nd4', 'Ne5'], ['Nc2', 'g5'], ['g3', 'Ncd3\n'], ['Kh2', 'Nf3+'], ['Kh1', 'Nf4'], ['Qc4', 'Nd2']]",0-1
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.29,8.1,"Mirzoev,A","Gurevich,Daniel",,,D26,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'dxc4'], ['e3', 'e6'], ['Bxc4', 'c5'], ['O-O', 'Nc6'], ['dxc5', 'Qxd1'], ['Rxd1', 'Bxc5\n'], ['Nbd2', 'O-O'], ['b3', 'b6'], ['Bb2', 'Bb7'], ['Bxf6', 'gxf6'], ['Ne4', 'Be7'], ['Rd7', 'Rab8'], ['Bb5', 'a6\n'], ['Bxc6', 'Bxc6'], ['Rxe7', 'Bxe4'], ['Nd2', 'Bd3'], ['Rc1', 'Rbc8'], ['Rec7', 'Rxc7'], ['Rxc7', 'Rd8']]",1/2-1/2
Ceske Budejovice GM 2017,Ceske Budejovice CZE,2017.06.30,9.5,"Gurevich,Daniel","Vykouk,Jan",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'Nc6'], ['Be3', 'a6'], ['Ne2', 'b5'], ['a3', 'Qb6\n'], ['c3', 'c4'], ['g4', 'h5'], ['gxh5', 'Rxh5'], ['Ng3', 'Rh8'], ['h4', 'Be7'], ['Ng5', 'Bb7'], ['Qf3', 'Bxg5\n'], ['hxg5', 'O-O-O'], ['Be2', 'g6'], ['Kf2', 'a5'], ['Rh6', 'Rxh6'], ['gxh6', 'Rh8'], ['Rh1', 'Ne7'], ['Qg4', 'Rh7\n'], ['Bd1', 'a4'], ['Bc2', 'Nf8'], ['Ne2', 'Nf5'], ['Qg5', 'Qd8'], ['Ng1', 'Qxg5'], ['fxg5', 'Nxe3'], ['Kxe3', 'Bc6\n'], ['Nh3', 'Rh8'], ['Nf2', 'Nh7'], ['Ng4', 'Kd8'], ['Nf6', 'Ke7'], ['Kf4', 'Be8'], ['Kg4', 'Bc6'], ['Rf1', 'Be8\n'], ['Kh4', 'Bc6'], ['Bd1', 'Be8'], ['Bf3', 'Bc6'], ['Bg2', 'Bb7'], ['Bh1', 'Bc6'], ['Rf4', 'Bb7'], ['Bg2', 'Bc6\n'], ['Bf3', 'Bb7'], ['Be2', 'Bc6'], ['Bd1', 'Be8'], ['Nxh7', 'Rxh7'], ['Rf6', 'Bc6'], ['Bc2', 'Be8'], ['Kg3', 'Rh8\n'], ['Kf2', 'Rh7'], ['Ke1', 'Rh8'], ['Kd1', 'Rh7'], ['Kc1', 'Rh8'], ['Kb1', 'Rh7'], ['Ka1', 'Rh8'], ['Bb1', 'Rh7\n'], ['Bc2', 'Rh8'], ['Bb1', '']]",1/2-1/2
28th Czech Open A 2017,Pardubice CZE,2017.07.21,1.42,"Gurevich,Daniel","Egorov,P",,,B29,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['e5', 'Nd5'], ['Nc3', 'e6'], ['Nxd5', 'exd5'], ['d4', 'Nc6'], ['Be3', 'Qb6'], ['dxc5', 'Bxc5\n'], ['Bxc5', 'Qxc5'], ['Bd3', 'd6'], ['exd6', 'Qxd6'], ['O-O', 'O-O'], ['c3', 'g6'], ['h3', 'Be6'], ['Qd2', 'Rfd8\n'], ['Qh6', 'Qf8'], ['Qh4', 'Qg7'], ['Bb5', 'Rab8'], ['Rfe1', 'd4'], ['Bxc6', 'dxc3'], ['bxc3', 'bxc6'], ['Ne5', 'Rd2\n'], ['Qf4', 'Rdb2'], ['Nxc6', 'Rf8'], ['Nd4', 'Rxa2'], ['Rxa2', 'Bxa2'], ['Ra1', 'Bd5'], ['Ra5', 'Bc4'], ['Rxa7', 'Re8\n'], ['Rc7', 'Ba6'], ['Nc6', 'Qf8'], ['Qf6', 'Qg7'], ['Ne7+', 'Kh8'], ['Qxa6', 'Qe5'], ['Qa7', 'Rd8'], ['Rd7', 'Rxd7\n'], ['Qxd7', 'Qe1+'], ['Kh2', 'Qe5+'], ['g3', 'Qxc3'], ['Qd8+', '']]",1-0
28th Czech Open A 2017,Pardubice CZE,2017.07.22,2.30,"Havelka,Josef","Gurevich,Daniel",,,B18,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['Nh3', 'Nf6'], ['Nf4', 'e5'], ['dxe5', 'Qa5+\n'], ['c3', 'Qxe5+'], ['Qe2', 'Nbd7'], ['Qxe5+', 'Nxe5'], ['Be3', 'Neg4'], ['Bd4', 'Bd6'], ['Nxg6', 'hxg6\n'], ['Bxf6', 'gxf6'], ['Be2', 'f5'], ['Bxg4', 'fxg4'], ['O-O-O', 'O-O-O'], ['Kc2', 'f5'], ['Rd3', 'Bc5'], ['Rxd8+', 'Kxd8\n'], ['f3', 'gxf3'], ['gxf3', 'Rh3'], ['f4', 'Be3'], ['Rf1', 'Rxh2+'], ['Kd3', 'Bb6'], ['Ne2', 'a5'], ['Rf3', 'Ke7\n'], ['a4', 'Rh1'], ['b3', 'Kf6'], ['Rg3', 'Rd1+'], ['Kc4', 'Rd2'], ['Nc1', 'Bc7'], ['Nd3', 'Bd6'], ['b4', 'axb4\n'], ['cxb4', 'Re2'], ['Nc5', 'Rf2'], ['Nd3', 'Rf1'], ['b5', 'Bxf4']]",0-1
28th Czech Open A 2017,Pardubice CZE,2017.07.23,3.14,"Gurevich,Daniel","Das,Say",,,A14,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'c6'], ['Qc2', 'Nbd7'], ['Bf4', 'Nh5\n'], ['Be3', 'b6'], ['Ne5', 'Bb7'], ['cxd5', 'cxd5'], ['Nc6', 'Bxc6'], ['Qxc6', 'Qc8'], ['Qa4', 'Qb7'], ['Rc1', 'Rac8\n'], ['Nd2', 'a6'], ['Qd1', 'Nhf6'], ['Bf3', 'Bd6'], ['Rxc8', 'Rxc8'], ['Rc1', 'Rc6'], ['Nb3', 'Qc7'], ['Rxc6', '']]",1/2-1/2
28th Czech Open A 2017,Pardubice CZE,2017.07.24,4.22,"Janzelj,T","Gurevich,Daniel",,,A09,"[['Nf3', 'd5'], ['c4', 'dxc4'], ['Na3', 'Be6'], ['Qc2', 'c5'], ['Ng5', 'Qd5'], ['Nxe6', 'Qxe6'], ['e3', 'Nc6'], ['Bxc4', 'Qd7\n'], ['b3', 'e6'], ['Bb2', 'Nf6'], ['O-O', 'Be7'], ['Be2', 'O-O'], ['Nc4', 'Nd5'], ['Ne5', 'Nxe5'], ['Bxe5', 'Rac8\n'], ['Rfd1', 'Rfd8'], ['Qb2', 'f6'], ['Bg3', 'Bd6'], ['Qa3', 'a6'], ['Rac1', 'Bxg3'], ['hxg3', 'Qe7'], ['Bf3', 'e5\n'], ['d4', 'Nb4'], ['dxc5', 'Nd3'], ['Rc3', 'e4'], ['Bg4', 'Ne5'], ['Be2', 'Rxd1+'], ['Bxd1', 'Rd8'], ['Be2', 'Rd2\n'], ['Kf1', 'Qd7'], ['Ke1', 'f5'], ['b4', 'Qd5'], ['Qb3', 'Qxb3'], ['axb3', 'Rb2'], ['b5', 'axb5'], ['Bxb5', 'Rb1+\n'], ['Kd2', 'Rb2+'], ['Ke1', 'Rb1+'], ['Kd2', 'Rb2+'], ['Kc1', 'Rxf2'], ['Rc2', 'Rxc2+'], ['Kxc2', 'Kf7\n'], ['Kc3', 'Ke6'], ['Bc4+', 'Kd7'], ['b4', 'b6'], ['cxb6', 'Kc6'], ['Be2', 'Kxb6'], ['Kd4', 'Nc6+'], ['Kc4', 'g6\n'], ['Kc3', 'Ne5'], ['Bf1', 'Nc6'], ['Bc4', 'Ne5'], ['Bg8', 'Ng4'], ['Kd4', 'Nf6'], ['Bc4', 'Kc6'], ['Ke5', 'Ng4+\n'], ['Kd4', 'Nf6'], ['Be2', 'Kd6'], ['b5', 'Nd5'], ['Bc4', 'Nf6'], ['Be2', 'Nd5'], ['g4', 'f4'], ['exf4', 'Nxf4\n'], ['Bf1', 'e3'], ['Kxe3', 'Ke5'], ['g3', 'Nd5+'], ['Kd3', 'Nb6'], ['Bg2', 'g5'], ['Bh1', 'h6'], ['Bg2', 'Nd7\n'], ['Kc4', 'Kd6'], ['Kd4', 'Ne5'], ['Bh3', 'Nd7'], ['Ke4', 'Ke6'], ['Bf1', 'Nf6+'], ['Kd4', 'h5'], ['Kc5', 'Kd7\n'], ['gxh5', 'Nxh5'], ['g4', 'Nf6'], ['Kb6', 'Kd6'], ['Be2', 'Nd5+'], ['Ka6', 'Kc5'], ['Ka5', 'Nb6'], ['Bd1', 'Nc4+\n'], ['Ka6', 'Nb6'], ['Bf3', 'Nc4'], ['Be4', 'Nb6'], ['Bc6', 'Nc4'], ['Kb7', 'Nb6'], ['Kc7', 'Nc4'], ['Be8', 'Nb6\n'], ['Kd8', 'Nc4'], ['Bc6', 'Kb6'], ['Ke7', 'Ne5'], ['Kf6', 'Nxg4+'], ['Kxg5', 'Ne5'], ['Kf5', 'Nc4'], ['Ke4', 'Na3\n'], ['Kd4', 'Nxb5+'], ['Bxb5', '']]",1/2-1/2
28th Czech Open A 2017,Pardubice CZE,2017.07.25,5.23,"Gurevich,Daniel","Rahul,Srivatshav P",,,B48,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Qc7'], ['Be3', 'a6'], ['Qf3', 'Nf6'], ['Qg3', 'Qxg3\n'], ['hxg3', 'Ng4'], ['Nxc6', 'Nxe3'], ['Nd4', 'Nxf1'], ['Kxf1', 'b5'], ['e5', 'Bb7'], ['Re1', 'Bc5'], ['Nb3', 'Bb4\n'], ['Re3', 'Rc8'], ['Rh4', 'Bxc3'], ['Rxc3', 'Rxc3'], ['bxc3', 'Bd5'], ['Nc5', 'Bxa2'], ['Nxa6', 'Ke7'], ['Ke2', 'Ra8\n'], ['Nc5', 'h6'], ['Rg4', 'Bc4+'], ['Kd2', 'd6'], ['Ne4', 'dxe5'], ['Rxg7', 'Bd5'], ['f3', 'Ra1'], ['Rh7', 'Rg1\n'], ['Ke3', 'Rxg2'], ['Rxh6', 'Rxc2'], ['Rh5', 'Bxe4'], ['Kxe4', 'Rxc3'], ['Rxe5', 'f5+'], ['Kf4', 'Kf6\n'], ['Rxb5', 'e5+'], ['Rxe5', 'Rc4+']]",0-1
St Louis Inv GM 2017,Saint Louis USA,2017.11.17,1.5,"Gurevich,Daniel","Hambleton,A",,,D38,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'd5'], ['Nc3', 'Bb4'], ['cxd5', 'exd5'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['e3', 'Bf5\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'c6'], ['a3', 'Be7'], ['Bxf6', 'Bxf6'], ['h4', 'g6'], ['h5', 'g5'], ['Ne2', 'Nd7\n'], ['Ng3', 'Bg7'], ['Nf5', 'a5'], ['Nd2', 'Re8'], ['f3', 'c5'], ['O-O', 'Qb6'], ['f4', 'g4'], ['dxc5', 'Nxc5\n'], ['Qe2', 'Qxb2'], ['Qxg4', 'Kh8'], ['Rab1', 'Qf6'], ['Rb5', 'Bf8'], ['Rf3', 'Ne4'], ['Nxe4', 'dxe4'], ['Rg3', 'Bxa3\n'], ['Rb6', 'Re6'], ['Rxb7', 'a4'], ['Ra7', 'Ree8'], ['Rc7', 'Bb2'], ['Nd6', 'Qxd6'], ['Rxf7', 'Rg8'], ['Qf5', 'Bg7\n'], ['Rg6', 'Qxg6'], ['hxg6', 'a3'], ['Qh5', 'Rge8'], ['Rxg7', 'Kxg7'], ['Qd5', 'Kxg6'], ['Qd6+', 'Kf7'], ['Qd7+', 'Kf6\n'], ['Qd4+', 'Kf7'], ['Qd7+', 'Kf6'], ['Qd4+', '']]",1/2-1/2
St Louis Inv GM 2017,Saint Louis USA,2017.11.18,2.2,"Sturt,R","Gurevich,Daniel",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e4', 'Nf6'], ['e5', 'Nd5'], ['Bxc4', 'Nc6'], ['Ne2', 'Nb6'], ['Bb3', 'Bf5'], ['Nbc3', 'e6\n'], ['O-O', 'Qd7'], ['Be3', 'O-O-O'], ['a3', 'f6'], ['exf6', 'gxf6'], ['Ng3', 'Bg6'], ['Qf3', 'Be7'], ['Rfd1', 'Na5\n'], ['Ba2', 'Nac4'], ['d5', 'e5'], ['Bxb6', 'Nxb6'], ['a4', 'a5'], ['Bb1', 'Rhg8'], ['Bf5', 'Bxf5'], ['Nxf5', 'Rg5\n'], ['Nxe7+', 'Qxe7'], ['Ne4', 'Rg6'], ['d6', 'cxd6'], ['Qc3+', 'Kb8'], ['Qxa5', 'f5'], ['Ng3', 'd5'], ['Nxf5', 'Qg5\n'], ['Ng3', 'h5'], ['Qb5', 'h4'], ['a5', 'hxg3'], ['hxg3', 'Nc8'], ['Rxd5', 'Rxd5'], ['Qxd5', 'Rh6'], ['Re1', 'Rh5\n'], ['Qe6', 'Qg7'], ['Rc1', 'Qh8'], ['Rxc8+', 'Qxc8'], ['Qd6+', 'Ka8'], ['Qd2', 'Qh8'], ['f3', 'Rh1+'], ['Kf2', 'Qc8\n'], ['g4', 'Qc5+'], ['Kg3', 'Qd4'], ['Qg5', 'Ka7'], ['b4', 'Qc3']]",0-1
St Louis Inv GM 2017,Saint Louis USA,2017.11.18,3.4,"Gurevich,Daniel","Sadorra,J",,,A07,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'e6'], ['O-O', 'c5'], ['c4', 'Nc6'], ['cxd5', 'exd5'], ['d4', 'Be7'], ['dxc5', 'Bxc5\n'], ['a3', 'O-O'], ['b4', 'Bb6'], ['Bb2', 'Ne4'], ['Nc3', 'Nxc3'], ['Bxc3', 'Bg4'], ['e3', 'd4'], ['exd4', 'Nxd4\n'], ['Bxd4', 'Bxf3'], ['Qxf3', 'Bxd4'], ['Rad1', 'Qb6'], ['Qxb7', 'Rad8'], ['Qxb6', 'axb6'], ['Rfe1', 'Bb2\n'], ['a4', 'Bc3'], ['Rxd8', 'Rxd8'], ['Re4', 'g6'], ['Bf1', 'Rd1'], ['Kg2', 'Kg7'], ['Rc4', 'Be1'], ['Re4', 'Bc3\n'], ['Bc4', 'Re1'], ['Rxe1', 'Bxe1'], ['b5', 'f5'], ['f4', 'Kf6'], ['Kf3', 'Bb4'], ['h3', 'h5'], ['g4', 'hxg4+\n'], ['hxg4', 'fxg4+'], ['Kxg4', 'Bd6']]",1/2-1/2
