US Amateur Team East,Parsipanny USA,2002.02.16,1,"Milovanovic,Dragan","Caruana,F",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['e3', 'Bg7'], ['Bd3', 'O-O'], ['O-O', 'd5'], ['Nbd2', 'Nbd7'], ['c3', 'b6'], ['e4', 'dxe4\n'], ['Nxe4', 'Bb7'], ['Re1', 'Re8'], ['Bf4', 'Rc8'], ['Qa4', 'a6'], ['Rad1', 'b5'], ['Qc2', 'Nd5'], ['Bg3', 'c6\n'], ['h4', 'c5'], ['dxc5', 'Nxc5'], ['Nxc5', 'Rxc5'], ['Qb1', 'Qb6'], ['h5', 'Bxc3'], ['hxg6', 'hxg6'], ['bxc3', 'Nxc3\n'], ['Qb4', 'Nxd1'], ['Rxd1', 'Bxf3'], ['gxf3', 'Rd8'], ['Be2', 'Rxd1+'], ['Bxd1', 'Rc1'], ['Qd2', 'Qc5\n'], ['Kg2', 'a5'], ['Bf4', 'Rc4'], ['Be3', 'Qd6'], ['Bb3', 'Rh4'], ['Qxa5', 'Qd7'], ['Kf1', 'Qd3+'], ['Kg2', 'Qd7']]",1/2-1/2
20th TCh-RUS 2013,Loo RUS,2013.04.07,1,"Caruana,F","Kokarev,Dm",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'Na6'], ['O-O', 'c6\n'], ['d5', 'Ng4'], ['Bg5', 'f6'], ['Bh4', 'c5'], ['Ne1', 'Nh6'], ['Nd3', 'g5'], ['Bg3', 'f5'], ['exf5', 'Bxf5\n'], ['Bf3', 'Bg6'], ['Be4', 'Nf5'], ['Re1', 'Nb8'], ['f3', 'Nd7'], ['Nf2', 'Nf6'], ['Bxf5', 'Bxf5'], ['Nfe4', 'Nxe4\n'], ['Nxe4', 'a5'], ['Rc1', 'Rf7'], ['Bf2', 'h6'], ['h3', 'Rb8'], ['Qe2', 'Qd7'], ['Rc3', 'Bf8'], ['Rb3', 'b6\n'], ['Be3', 'a4'], ['Ra3', 'b5'], ['b3', 'bxc4'], ['bxc4', 'Rb4'], ['Qc2', 'Qb7'], ['Rxa4', 'Rb2'], ['Qd3', 'Qc8\n'], ['Bd2', 'Bxh3'], ['gxh3', 'Qxh3'], ['Ra3', 'Rf4'], ['Nf2', 'Qg3+'], ['Kf1', 'Rf6'], ['Ne4', 'Qh3+'], ['Ke2', 'Rf4\n'], ['Kd1', '']]",1-0
20th TCh-RUS 2013,Loo RUS,2013.04.08,2,"Sutovsky,E","Caruana,F",,,C41,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'e5'], ['Nf3', 'Nbd7'], ['Bc4', 'Be7'], ['O-O', 'exd4'], ['Qxd4', 'O-O'], ['Bf4', 'Nb6\n'], ['Be2', 'Bg4'], ['h3', 'Bh5'], ['Rad1', 'Nfd7'], ['e5', 'dxe5'], ['Bxe5', 'Bg6'], ['Qf4', 'c6'], ['a4', 'a5\n'], ['Bc7', 'Qc8'], ['Nd4', 'Bb4'], ['Bf3', 'Re8'], ['Rfe1', 'Rxe1+'], ['Rxe1', 'Nc4'], ['Nxc6', 'bxc6'], ['Bxc6', 'Ra7\n'], ['Nb5', 'Rxc7'], ['Qxc7', 'Qxc7'], ['Re8+', 'Nf8'], ['Nxc7', 'Bxc2'], ['Nd5', 'Bd6'], ['Rd8', 'Bc5'], ['Bb5', 'Nb6\n'], ['Nxb6', 'Bxb6'], ['Rd6', 'Ba7'], ['Ra6', 'Bd4'], ['Rxa5', 'g6'], ['Ra8', 'Bxb2'], ['a5', 'Kg7'], ['Rc8', 'Bf5\n'], ['Rc4', 'Ne6'], ['Bd7', 'Bd3'], ['Rc6', 'Bb5'], ['Rb6', 'Bxd7'], ['Rxb2', 'Bc6'], ['a6', 'Nf4'], ['Rc2', 'Ba8\n'], ['Rc8', 'Bd5'], ['Rd8', 'Bc6'], ['Rd6', 'Ba8'], ['Rd8', 'Bc6'], ['f3', 'h6'], ['h4', 'Nd5'], ['a7', 'Ne3\n'], ['Rc8', 'Bb7'], ['Rb8', 'Bc6'], ['Rc8', 'Bb7'], ['a8=Q', 'Bxa8'], ['Rxa8', 'Nf5'], ['Ra4', 'Kf6'], ['Kh2', 'h5\n'], ['Kh3', 'Ng7'], ['Rf4+', 'Ke7'], ['Rb4', 'Kf6'], ['Rb6+', 'Ne6'], ['Kg3', 'Kg7'], ['Kf2', 'Nd4'], ['g4', 'hxg4\n'], ['fxg4', 'Ne6'], ['Ke3', 'Nc5'], ['Rd6', 'Kf8'], ['Kd4', 'Ne6+'], ['Ke5', 'Ke7'], ['Rb6', 'Nc5'], ['Rc6', 'Ne6\n'], ['Rc4', 'f6+'], ['Kd5', 'Kf7'], ['Kd6', 'g5'], ['h5', 'Nf4'], ['Rc7+', 'Kg8'], ['h6', 'Kh8'], ['Rf7', 'Ng2\n'], ['Ke6', 'Ne3'], ['Kxf6', 'Nxg4+'], ['Kxg5', 'Ne5'], ['Re7', '']]",1-0
20th TCh-RUS 2013,Loo RUS,2013.04.09,3,"Caruana,F","Jobava,Ba",,,A53,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nf3', 'g6'], ['Nc3', 'Bf5'], ['d5', 'Na6'], ['Nd4', 'Bd7'], ['e4', 'Nc5'], ['f3', 'a5'], ['Be3', 'Bg7\n'], ['Qd2', 'O-O'], ['Be2', 'e5'], ['dxe6', 'fxe6'], ['Ndb5', 'e5'], ['O-O-O', 'Ne6'], ['g4', 'b6'], ['h4', 'Be8\n'], ['Kb1', 'Kh8'], ['Nd5', 'Nxd5'], ['cxd5', 'Nc5'], ['Nc3', 'a4'], ['h5', 'gxh5'], ['gxh5', 'Bf6'], ['Rdg1', 'Bf7\n'], ['Rg5', 'Rg8'], ['Rf5', 'Rg2'], ['Qe1', 'Qe7'], ['Bf1', 'Rgg8'], ['Bb5', 'Bg5'], ['f4', 'Bf6'], ['Rf1', 'Raf8\n'], ['Rxf6', 'Qxf6'], ['fxe5', 'Qxe5'], ['Rf5', 'Qh2'], ['Bd4+', 'Rg7'], ['Qc1', 'Kg8'], ['Bxg7', 'Kxg7\n'], ['Qg5+', 'Kh8'], ['h6', '']]",1-0
20th TCh-RUS 2013,Loo RUS,2013.04.10,4,"Jakovenko,D","Caruana,F",,,A34,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nb4'], ['Bc4', 'Nd3+'], ['Ke2', 'Nf4+'], ['Kf1', 'Nd3\n'], ['Ke2', 'Nf4+'], ['Kf1', 'Nd3'], ['Qb3', 'e6'], ['Bb5+', 'Nc6'], ['Na4', 'Nb4'], ['a3', 'Qa5'], ['Be2', 'Na6\n'], ['Nc3', 'Be7'], ['d3', 'O-O'], ['Be3', 'Rd8'], ['Rc1', 'Bf6'], ['h4', 'Nd4'], ['Qd1', 'Nxf3'], ['gxf3', 'Bd4\n'], ['Qd2', 'e5'], ['Bxd4', 'cxd4'], ['Nb1', 'Qxd2'], ['Nxd2', 'Be6'], ['Kg2', 'Rac8'], ['Kg3', 'Nc5'], ['f4', 'exf4+\n'], ['Kxf4', 'Bd7'], ['Nf3', 'Bb5'], ['Kg3', 'f6'], ['Rhe1', 'a6'], ['b4', 'Ne6'], ['Rxc8', 'Rxc8'], ['Ra1', 'Rc3\n'], ['Ne1', 'g5'], ['hxg5', 'fxg5'], ['a4', 'Bc6'], ['Kg4', 'Bd7'], ['Bd1', 'Kf7'], ['Kf5', 'Ke7'], ['a5', 'Bb5\n'], ['Ke5', 'Bxd3'], ['Bg4', 'Bc4'], ['Nf3', 'Be2'], ['Bxe6', 'Rxf3'], ['Rh1', 'd3'], ['Rxh7+', 'Kf8'], ['Rh8+', 'Ke7\n'], ['Rh7+', 'Kf8'], ['Rh8+', 'Ke7'], ['Rh7+', '']]",1/2-1/2
20th TCh-RUS 2013,Loo RUS,2013.04.11,5,"Caruana,F","Ivanchuk,V",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['a4', 'b4\n'], ['d3', 'd6'], ['Nbd2', 'Be6'], ['Bxe6', 'fxe6'], ['Nb3', 'Qe8'], ['d4', 'Nd7'], ['d5', 'Nd8'], ['dxe6', 'Nxe6\n'], ['Qd5', 'Qf7'], ['Na5', 'c5'], ['Be3', 'Nf6'], ['Qc4', 'Nd4'], ['Qxf7+', 'Kxf7'], ['Ng5+', 'Kg6'], ['Rac1', 'Nd7\n'], ['Nh3', 'Nb6'], ['c3', 'bxc3'], ['bxc3', 'Ne6'], ['Ra1', 'Bd8'], ['g3', 'Kf7'], ['f4', 'exf4'], ['gxf4', 'g6\n'], ['Bf2', 'Kg8'], ['Bg3', 'Bc7'], ['Kg2', 'Rae8'], ['Red1', 'Rf7'], ['Ra2', 'c4'], ['Nb7', 'Nc8'], ['Rb2', 'Nb6\n'], ['Rb4', 'Nc5'], ['Nxd6', 'Bxd6'], ['Rxd6', 'Nbxa4'], ['Ng5', 'Rfe7'], ['e5', 'Rc8'], ['Bf2', 'Rec7'], ['Rxc4', 'Kg7\n'], ['Bd4', 'h6'], ['Nf3', 'Nb2'], ['Rxc5', 'Rxc5'], ['Bxc5', 'Rxc5'], ['Nh4', 'g5'], ['Rd7+', 'Kf8'], ['Ng6+', 'Ke8\n'], ['Re7+', 'Kd8'], ['f5', 'Nd3'], ['f6', 'Rxc3'], ['Ra7', '']]",1-0
20th TCh-RUS 2013,Loo RUS,2013.04.12,6,"Caruana,F","Svidler,P",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['f3', 'Bg7'], ['e4', 'd6'], ['Nc3', 'O-O'], ['Nge2', 'a6'], ['Bg5', 'c6'], ['Qd2', 'b5'], ['h4', 'h5\n'], ['O-O-O', 'Nbd7'], ['g4', 'b4'], ['Na4', 'hxg4'], ['Ng3', 'Nh7'], ['Bh6', 'gxf3'], ['Bxg7', 'Kxg7'], ['h5', 'g5\n'], ['Qxb4', 'Ndf6'], ['Rd3', 'g4'], ['Rg1', 'Qc7'], ['Qd2', 'Kh8'], ['c5', 'Rb8'], ['b3', 'Rg8'], ['Rc3', 'e5\n'], ['dxe5', 'dxe5'], ['Qe3', 'a5'], ['Nb6', 'Be6'], ['Nc4', 'a4'], ['bxa4', 'Rb4'], ['Nb6', 'Qa7'], ['a5', 'Rd8\n'], ['a6', 'Bxa2'], ['Bd3', 'Bb3'], ['Nf5', 'Be6'], ['Kc2', 'Bxf5'], ['exf5', 'e4'], ['Bc4', 'Rxc4'], ['Rxc4', 'Qxa6\n'], ['Qb3', 'Qa5'], ['Rc3', 'f2'], ['Rb1', 'e3'], ['Nc4', 'e2']]",0-1
20th TCh-RUS 2013,Loo RUS,2013.04.13,7,"Karjakin,Sergey","Caruana,F",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bc5'], ['c3', 'd6'], ['a4', 'Rb8\n'], ['d4', 'Bb6'], ['a5', 'Ba7'], ['h3', 'O-O'], ['Be3', 'Ra8'], ['Nbd2', 'h6'], ['Re1', 'Re8'], ['Nf1', 'exd4\n'], ['cxd4', 'Rxe4'], ['Ng3', 'Re7'], ['Qd2', 'Qf8'], ['Rec1', 'Bd7'], ['Nh4', 'd5'], ['Nhf5', 'Re6'], ['Rc2', 'Rae8\n'], ['Rac1', 'Qb4'], ['Qxb4', 'Nxb4'], ['Rxc7', 'Bb8'], ['Rb7', 'Rc6'], ['Ne7+', 'Rxe7'], ['Rxb8+', 'Re8\n'], ['Rxe8+', 'Bxe8'], ['Ne2', 'Rxc1+'], ['Bxc1', 'Nc6'], ['Bd2', 'Bd7'], ['g4', 'Be6'], ['f3', 'Ne8'], ['Bc2', 'Nd6\n'], ['b4', 'g5'], ['Bc3', 'f6'], ['Nc1', 'f5'], ['Nd3', 'f4'], ['h4', 'Kg7'], ['Bb3', 'Ne7'], ['Nc5', '']]",1/2-1/2
Renova FIDE GP Zug,Zug SUI,2013.04.18,1.3,"Caruana,F","Radjabov,T",,,C63,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'f5'], ['d3', 'fxe4'], ['dxe4', 'Nf6'], ['O-O', 'Bc5'], ['Bxc6', 'bxc6'], ['Nxe5', 'O-O\n'], ['Nc3', 'd6'], ['Na4', 'Qe8'], ['Nd3', 'Nxe4'], ['Naxc5', 'Nxc5'], ['Nxc5', 'dxc5'], ['Be3', 'Qg6'], ['Qd3', 'Bf5\n'], ['Qc4+', 'Be6'], ['Qe2', 'c4'], ['f3', 'a6'], ['Bd4', 'Rae8'], ['Kh1', 'Bd5'], ['Qd2', 'Re6'], ['Bc3', 'h6\n'], ['Rf2', 'Kh7'], ['Raf1', 'Rf5'], ['Re1', 'Rd6'], ['Be5', 'Rd7'], ['Qc3', 'Qg5'], ['Rfe2', 'Rdf7'], ['Re3', 'h5\n'], ['R1e2', 'Qg6'], ['h3', 'Qg5'], ['Kh2', 'h4'], ['Qd4', 'Re7'], ['Qg4', 'Kg8'], ['Bc3', 'Rxe3'], ['Rxe3', 'Kf7\n'], ['Be1', 'Qf4+'], ['Qxf4', 'Rxf4'], ['Ra3', 'Rd4'], ['Rxa6', 'g5'], ['Ra7', 'Rd1'], ['Rxc7+', 'Ke6'], ['Bb4', 'c3\n'], ['Bxc3', 'Rc1'], ['Rg7', 'Bxa2'], ['Rxg5', 'Rxc2'], ['Rg6+', 'Kd7'], ['Rg4', 'Bd5'], ['Kg1', 'Rc1+'], ['Kf2', 'Rc2+\n'], ['Kf1', 'Be6']]",1-0
Renova FIDE GP Zug,Zug SUI,2013.04.19,2.5,"Ponomariov,R","Caruana,F",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bc5'], ['c3', 'd6'], ['d4', 'Bb6\n'], ['Be3', 'O-O'], ['Nbd2', 'Re8'], ['Re1', 'Na5'], ['Bc2', 'c5'], ['h3', 'Nc6'], ['dxc5', 'dxc5'], ['a4', 'Rb8\n'], ['axb5', 'axb5'], ['c4', 'Nb4'], ['cxb5', 'Bd7'], ['Nc4', 'Bxb5'], ['Nfd2', 'Bc7'], ['Ra3', 'Bxc4'], ['Nxc4', 'Qxd1\n'], ['Bxd1', 'Nxe4'], ['Ra7', 'Nd6'], ['Ba4', 'Rec8'], ['Nxe5', 'Nb5'], ['Bxb5', 'Rxb5'], ['Bd2', 'Nc2'], ['Nc6', 'Bd6\n'], ['Ne7+', 'Bxe7'], ['Rexe7', 'Rf8'], ['Bc3', 'Nb4'], ['Red7', 'h6'], ['Kf1', 'Rb6'], ['f3', 'Nc6'], ['Rac7', 'Nb8\n'], ['Rd5', 'Na6'], ['Ra7', 'Rc6'], ['Rdd7', 'c4'], ['Rd4', 'Rfc8'], ['Re7', 'R6c7'], ['Rxc7', 'Rxc7'], ['Ke2', 'Rc6\n'], ['f4', 'Kf8'], ['f5', 'g6'], ['g4', 'gxf5'], ['gxf5', 'Nc7'], ['Kd2', 'Ke7'], ['Re4+', 'Kd7'], ['Bb4', 'Rf6\n'], ['Re5', 'Ne8'], ['Ke3', 'Rb6'], ['Rd5+', 'Kc6'], ['Rc5+', 'Kd7'], ['Bc3', 'Nd6'], ['Kf4', 'Ra6'], ['Be5', 'f6\n'], ['Bxf6', 'Ra1'], ['Bc3', 'Rf1+'], ['Kg4', 'Rf2'], ['h4', 'Rf1'], ['Rd5', 'Kc6'], ['Ra5', 'Kb6'], ['Re5', 'Kc6\n'], ['Bb4', 'h5+'], ['Kxh5', 'Nxf5'], ['Kg5', 'Nd4'], ['Rc5+', 'Kb6'], ['Rxc4', 'Nf3+'], ['Kh5', 'Ne5'], ['Re4', 'Nd3\n'], ['Bc3', 'Kc6'], ['Rc4+', 'Kb5'], ['Rd4', 'Nf4+'], ['Kg4', 'Ne6'], ['Re4', 'Nc5'], ['Re1', '']]",1-0
Renova FIDE GP Zug,Zug SUI,2013.04.20,3.1,"Caruana,F","Morozevich,A",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Re8'], ['d4', 'Bb7'], ['Nbd2', 'Bf8'], ['d5', 'Nb8'], ['Nf1', 'Nbd7'], ['N3h2', 'Nc5'], ['Bc2', 'c6\n'], ['b4', 'Ncd7'], ['dxc6', 'Bxc6'], ['Bg5', 'Qc7'], ['Bxf6', 'Nxf6'], ['Ng4', 'Nxg4'], ['hxg4', 'Be7'], ['Bb3', 'Bg5\n'], ['Qf3', 'Rf8'], ['Ne3', 'Bxe3'], ['Rxe3', 'Bd7'], ['g5', 'Be6'], ['Qh5', 'Qe7'], ['Rd1', 'g6'], ['Qh4', 'h5\n'], ['Rf3', 'Kg7'], ['Rf6', 'Rac8'], ['Rd3', 'Bc4'], ['Rdf3', 'Qd7'], ['Qh3', 'Qg4'], ['Rxd6', 'Qxe4'], ['Re3', 'Qf4\n'], ['Qg3', 'Bxb3'], ['axb3', 'Rfd8'], ['Rxa6', 'Qxg3'], ['Rxg3', 'Rd1+'], ['Kh2', 'Rc1'], ['Re3', 'R1xc3\n'], ['Rxe5', 'Rxb3'], ['Rxb5', 'Rc4'], ['g3', 'Rcxb4'], ['Rxb4', 'Rxb4']]",1/2-1/2
Renova FIDE GP Zug,Zug SUI,2013.04.21,4.6,"Mamedyarov,S","Caruana,F",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'cxd4'], ['cxd4', 'Qa5+'], ['Bd2', 'Qxa2'], ['O-O', 'Bg4'], ['d5', 'Nd7'], ['Rxb7', 'Nc5'], ['Rxe7', 'Bf6\n'], ['Bh6', 'Rfd8'], ['Rc7', 'Nxe4'], ['Bc4', 'Qa3'], ['Rxf7', 'Kxf7'], ['Ne5+', 'Bxe5'], ['Qxg4', 'Qd6\n'], ['Qxe4', 'Re8'], ['g3', 'Bg7'], ['Qf3+', 'Kg8'], ['Bc1', 'Qc5'], ['Qd3', 'Rac8'], ['Ba6', 'Rcd8'], ['Be3', 'Rxe3\n'], ['fxe3', 'Bh6'], ['Rf3', 'Rf8'], ['Kg2', 'Qd6'], ['Rxf8+', 'Kxf8'], ['Bc8', 'Qc5'], ['Be6', 'Qxe3'], ['Qf1+', 'Ke7\n'], ['Kh3', 'Kd6'], ['Qf7', 'Qc1'], ['Bg4', 'Bg5'], ['Qe6+', 'Kc5'], ['Bf3', 'Qe3'], ['Qc6+', 'Kd4'], ['d6', 'Qe6+\n'], ['Kg2', 'Qa2+'], ['Kh3', 'Qe6+'], ['Kg2', 'Qa2+'], ['Kh3', '']]",1/2-1/2
Renova FIDE GP Zug,Zug SUI,2013.04.23,5.4,"Caruana,F","Kasimdzhanov,R",,,D31,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'Be7'], ['cxd5', 'exd5'], ['Bf4', 'c6'], ['e3', 'Bf5'], ['Nge2', 'Nd7'], ['Ng3', 'Bg6\n'], ['Be2', 'Qb6'], ['Qd2', 'Ngf6'], ['h4', 'h5'], ['a3', 'a5'], ['Rd1', 'O-O'], ['Bf3', 'Rfe8'], ['Bg5', 'Bd6\n'], ['Nce2', 'Ne4'], ['Bxe4', 'dxe4'], ['O-O', 'a4'], ['Nc3', 'Bxg3'], ['fxg3', 'Qa5'], ['Qe2', 'Qa6'], ['Qf2', 'f6\n'], ['Bf4', 'Bf5'], ['Rc1', 'Bg4'], ['Rc2', 'Rad8'], ['Na2', 'Nf8'], ['Nb4', 'Qb5'], ['Rc5', 'Qb6'], ['Qc2', 'Ne6\n'], ['Rc4', 'Qb5'], ['Rc1', 'Kh8'], ['Kh2', 'Kg8'], ['Ra1', 'Rd7'], ['Rc1', 'Rdd8'], ['Qf2', 'Rd7'], ['Na2', 'Qd5\n'], ['Qf1', 'b5'], ['Nb4', 'bxc4'], ['Nxd5', 'cxd5'], ['Qe1', 'Ra8'], ['Qb4', 'Nxf4'], ['gxf4', 'Kf7'], ['Qb5', 'Kg6\n'], ['Rf1', 'Raa7'], ['Qb8', 'Kf5'], ['Rf2', 'Rab7'], ['Qa8', 'Ra7'], ['Qh8', 'Rab7'], ['Qh7+', 'g6'], ['Qg8', 'Ra7\n'], ['Qc8', 'Ke6'], ['Qe8+', 'Kf5'], ['Kg1', 'Rdc7'], ['Kf1', 'Rd7'], ['Ke1', 'Rdc7'], ['Rc2', 'Rd7'], ['Qg8', 'Rab7\n'], ['Qa8', 'Ke6'], ['Qxa4', 'Rb3'], ['Kf2', 'Kf7'], ['Qa8', 'Rdb7'], ['Kg1', 'Rd7'], ['Kf2', 'Rdb7'], ['a4', 'Rxb2\n'], ['Rxb2', 'Rxb2+'], ['Kg3', 'Be6'], ['Qc6', 'Rb3'], ['a5', 'Rxe3+'], ['Kh2', '']]",1-0
Renova FIDE GP Zug,Zug SUI,2013.04.24,6.6,"Caruana,F","Karjakin,Sergey",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['d3', 'Bc5'], ['Bxc6', 'dxc6'], ['Nbd2', 'O-O'], ['Nc4', 'Nd7'], ['O-O', 'Re8\n'], ['Kh1', 'a5'], ['a4', 'b6'], ['g3', 'Nf8'], ['Ncxe5', 'f6'], ['d4', 'Bd6'], ['Nxc6', 'Qd7'], ['d5', 'Rxe4\n'], ['Nd2', 'Re8'], ['Nc4', 'Ba6'], ['b3', 'Bxc4'], ['bxc4', 'Ng6'], ['Nd4', 'Ne5'], ['f4', 'c5'], ['Nb5', 'Nf7\n'], ['Qd3', 'Bf8'], ['Bd2', 'Nd6'], ['Nc3', 'Qh3'], ['Rab1', 'Rab8'], ['Rfe1', 'Rxe1+'], ['Bxe1', 'Kf7'], ['Bf2', 'Rb7\n'], ['Kg1', 'h5'], ['Ne4', 'Qd7'], ['Nxd6+', 'Bxd6'], ['Re1', 'Qxa4'], ['Qf5', 'Re7'], ['Re6', 'Qd7'], ['Qxh5+', 'Kg8\n'], ['f5', 'a4'], ['Qf3', 'Re8'], ['Qa3', 'Ra8'], ['Be1', 'Be5'], ['Bf2', 'Qb7'], ['d6', 'Qc6'], ['d7', 'Qxd7\n'], ['Rxb6', 'Qxf5'], ['Qxc5', 'Rd8'], ['Qe3', 'Qxc2'], ['Qf3', 'a3'], ['Qxa3', 'Bd4'], ['Bxd4', 'Rxd4'], ['Rxf6', 'Rd2\n'], ['Qf8+', 'Kh7'], ['Rf2', 'Rxf2'], ['Qxf2', 'Qxc4'], ['Qf5+', 'Kh8'], ['Qf8+', 'Kh7'], ['Qf5+', 'Kh8\n'], ['h4', 'Qa2'], ['h5', 'Qe2'], ['Qf8+', 'Kh7'], ['Qf5+', 'Kh8']]",1/2-1/2
Renova FIDE GP Zug,Zug SUI,2013.04.25,7.2,"Giri,A","Caruana,F",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'cxd4'], ['cxd4', 'Qa5+'], ['Bd2', 'Qxa2'], ['O-O', 'Bg4'], ['Be3', 'Nc6'], ['d5', 'Ne5'], ['Rxb7', 'a5\n'], ['Rxe7', 'a4'], ['Re1', 'a3'], ['Nxe5', 'Bxe2'], ['Rxe2', 'Qxe2'], ['Qxe2', 'a2'], ['Bd4', 'a1=Q+'], ['Bxa1', 'Rxa1+\n'], ['Qf1', 'Rxf1+'], ['Kxf1', 'Bf6'], ['Nc6', 'Bxe7'], ['Nxe7+', 'Kg7'], ['Nc6', 'Rc8'], ['g4', 'h6'], ['e5', 'Kf8\n'], ['f4', 'Ra8'], ['Ke2', 'Ra2+'], ['Kd3', 'Rxh2'], ['f5', 'gxf5'], ['gxf5', 'Rh1'], ['e6', 'fxe6'], ['fxe6', 'Rd1+\n'], ['Ke4', 'h5'], ['Ke5', 'h4'], ['d6', 'Ke8'], ['d7+', 'Rxd7'], ['exd7+', 'Kxd7'], ['Ke4', '']]",1/2-1/2
Renova FIDE GP Zug,Zug SUI,2013.04.26,8.5,"Caruana,F","Leko,P",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['d3', 'd6\n'], ['a3', 'Na5'], ['Ba2', 'c5'], ['Nc3', 'Nc6'], ['Nd5', 'Nd4'], ['Nxd4', 'cxd4'], ['f4', 'Be6'], ['Nxe7+', 'Qxe7\n'], ['Bb1', 'exf4'], ['Bxf4', 'Ng4'], ['Qd2', 'a5'], ['Bg3', 'Rfc8'], ['Qf4', 'Ne5'], ['Bf2', 'Nc6'], ['Bh4', 'Qc7\n'], ['Bg3', 'Ne5'], ['Bf2', 'Nc6'], ['Ba2', 'Bxa2'], ['Rxa2', 'Nd8'], ['Re2', 'Ne6'], ['Qd2', 'Ra6'], ['Ra1', 'Rc6\n'], ['Rc1', 'Nc5'], ['Rf1', 'Ne6'], ['Rc1', 'Nc5'], ['Rf1', 'Ne6']]",1/2-1/2
Renova FIDE GP Zug,Zug SUI,2013.04.28,9.3,"Kamsky,G","Caruana,F",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['d3', 'b5'], ['Bb3', 'd6'], ['a4', 'Bd7\n'], ['Be3', 'O-O'], ['axb5', 'axb5'], ['Nc3', 'Nb4'], ['Qe2', 'c6'], ['h3', 'Rxa1'], ['Rxa1', 'h6'], ['Qd2', 'c5\n'], ['Qe2', 'Qb6'], ['Nh2', 'Be6'], ['Ng4', 'Nxg4'], ['hxg4', 'Bxb3'], ['cxb3', 'Qb7'], ['g3', 'Qd7'], ['Qf3', 'Bg5\n'], ['Bxg5', 'hxg5'], ['Qf5', 'Qe7'], ['Kg2', 'g6'], ['Qf3', 'Rb8'], ['Ra5', 'Kg7'], ['Rxb5', 'Ra8'], ['Nd5', 'Nxd5\n'], ['exd5', 'Qa7'], ['b4', 'cxb4'], ['Rxb4', 'Rh8'], ['Qe3', 'Qa1'], ['Kf3', 'Qd1+'], ['Qe2', 'Qh1+'], ['Ke3', 'Qxd5\n'], ['Qc2', 'Rh1'], ['Qb3', 'Qg2'], ['Qc3', 'Rf1'], ['Qd2', 'd5']]",0-1
