Berlin,Berlin,1862.??.??,?,"Holdheim, O.","Wolff, Patrick G",,,C26,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'Nf6'], ['f4', 'Bxg1'], ['Rxg1', 'exf4'], ['e5', 'Qe7'], ['Kf2', 'Qc5+'], ['d4', 'Qxc4\n'], ['exf6', 'g5'], ['Re1+', 'Kd8'], ['g3', 'fxg3+'], ['hxg3', 'Nc6'], ['Bxg5', 'Nxd4'], ['Re4', 'c5'], ['Be3', 'd5\n'], ['Bxd4', 'dxe4'], ['Bxc5+', 'Bd7'], ['Qd6', 'Qe6'], ['Qe7+', 'Qxe7'], ['fxe7+', 'Kc7'], ['Nxe4', 'b6\n'], ['Bd6+', 'Kb7'], ['Be5', 'Bc6'], ['Nd6+', 'Ka6'], ['Bxh8', 'Rxh8'], ['Re1', 'Be8'], ['Kf3', 'b5'], ['Kf4', 'Kb6\n'], ['Kf5', 'Kc6'], ['Nxe8', 'Rxe8'], ['Kf6', '']]",1-0
New York op,New York,1994.??.??,3,"Wolff, Patrick G","Finegold, Benjamin",,,B36,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['c4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'Nxd4'], ['Qxd4', 'Bg7\n'], ['O-O', 'O-O'], ['Bg5', 'Be6'], ['Qd2', '']]",1/2-1/2
PCA-op,New York,1994.??.??,3,"Wolff, Patrick G","Adams, Michael",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['a4', 'Bb7\n'], ['d3', 'd6'], ['Nbd2', 'Na5'], ['Ba2', 'c5'], ['c3', 'h6'], ['Nf1', 'Re8'], ['Ng3', 'Bf8'], ['h3', 'c4'], ['b4', 'cxb3\n'], ['Bxb3', 'Qc7'], ['Bb2', 'Nxb3'], ['Qxb3', 'bxa4'], ['Qxa4', 'd5'], ['Qa5', 'Qxa5'], ['Rxa5', 'dxe4\n'], ['dxe4', 'Nd7'], ['Ba3', 'Bxa3'], ['Rxa3', 'g6'], ['Ra5', 'Rac8'], ['Rd1', 'Re7'], ['Rb1', 'Rc7'], ['Nd2', 'Nf6\n'], ['c4', 'Red7'], ['Rb2', 'Rd4'], ['f3', 'Nd7'], ['Ngf1', 'Bc8'], ['Ne3', 'Rb7'], ['Rc2', 'Nb8'], ['Rxe5', 'Be6\n'], ['Ra5', 'Ra7'], ['Nd5', 'Nc6'], ['Rc5', 'Ne5'], ['Nc7', 'Nd3'], ['Nxe6', 'fxe6'], ['Rc8+', 'Kf7'], ['Nb3', 'Rdd7\n'], ['c5', 'Rdc7'], ['Rxc7+', 'Rxc7'], ['Ra2', 'g5'], ['Rd2', 'Nb4'], ['Rd8', 'Kf6'], ['Rh8', 'Nd3'], ['Rxh6+', 'Ke5\n'], ['Rg6', 'Rb7'], ['Na5', 'Rb5'], ['Nc4+', 'Kf4'], ['Kh2', 'g4'], ['Rxg4+', '']]",1-0
New York op,New York,1994.??.??,4,"Lein, Anatoly","Wolff, Patrick G",,,A28,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['e3', 'Bb4'], ['Qc2', 'O-O'], ['d3', 'Re8'], ['Bd2', 'd5'], ['cxd5', 'Nxd5\n'], ['Be2', 'Bf8'], ['a3', 'a5'], ['O-O', 'Bg4'], ['Rac1', 'Nb6'], ['Rfd1', 'a4'], ['Be1', 'Be6'], ['Nd2', 'Na5\n'], ['Nc4', 'Naxc4'], ['dxc4', 'Qc8'], ['Nd5', 'Nd7'], ['Bd3', 'g6'], ['Nc3', 'Nc5'], ['Ne4', 'Nxe4'], ['Bxe4', 'c6\n'], ['Bb4', 'Qc7'], ['Bxf8', 'Kxf8'], ['Qc3', 'Qa5'], ['Bd3', 'Qc5'], ['Kf1', 'Ra6'], ['Qb4', 'Qxb4'], ['axb4', 'a3\n'], ['bxa3', 'Rxa3'], ['Be2', 'Ke7'], ['b5', 'Bd7'], ['Ke1', 'f5'], ['Bf3', 'e4'], ['Be2', 'c5'], ['h4', 'Be6\n'], ['Ra1', 'Rea8'], ['Rxa3', 'Rxa3'], ['Rc1', 'Ra2'], ['Kd1', 'Kd6'], ['Rc2', 'Ra1+'], ['Rc1', 'Ra8'], ['Kd2', 'Ke5\n'], ['g3', 'h6'], ['Kc3', 'g5'], ['hxg5', 'hxg5'], ['Rh1', 'Ra2'], ['Re1', 'f4'], ['gxf4+', 'gxf4'], ['exf4+', 'Kxf4\n'], ['Kb3', 'Ra5'], ['Kb2', 'Ra8'], ['Rh1', 'Rg8'], ['Rh2', 'Rg1'], ['Kc3', 'Bf5'], ['Kd2', 'Ra1'], ['Rh4+', 'Ke5\n'], ['Rh8', 'Ra2+'], ['Ke3', 'Ra3+']]",1/2-1/2
PCA-op,New York,1994.??.??,4,"Oll, Lembit","Wolff, Patrick G",,,D39,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'e6'], ['Nc3', 'dxc4'], ['e4', 'Bb4'], ['Bg5', 'c5'], ['Bxc4', 'cxd4'], ['Nxd4', 'Bxc3+\n'], ['bxc3', 'Qa5'], ['Bb5+', 'Nbd7'], ['Bxf6', 'Qxc3+'], ['Kf1', 'gxf6'], ['h4', 'a6'], ['Rh3', 'Qa5'], ['Be2', 'O-O\n'], ['Nb3', 'Qe5'], ['Rc1', 'b6'], ['Qd2', 'Nc5'], ['Nxc5', 'bxc5'], ['Qh6', '']]",1-0
New York op,New York,1994.??.??,5,"Wolff, Patrick G","Shaked, Tal",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Na3', 'b5\n'], ['Nd5', 'Be7'], ['Nxe7', 'Nxe7'], ['Bd3', 'Bb7'], ['Qe2', 'O-O'], ['Rd1', 'Ng6'], ['O-O', 'h6'], ['Bc1', 'Re8\n'], ['c4', 'bxc4'], ['Nxc4', 'Nf4'], ['Bxf4', 'exf4'], ['Qf3', 'Bxe4'], ['Bxe4', 'Nxe4'], ['Qxf4', 'd5'], ['Ne3', 'Nf6\n'], ['Nf5', 'Re4'], ['Qg3', 'Rg4'], ['Qf3', 'Ra7'], ['h3', 'Rg6'], ['Rfe1', 'Rd7'], ['Qa3', 'Ne4'], ['Rxe4', 'dxe4\n'], ['Rxd7', 'Qxd7'], ['Ne7+', 'Kh7'], ['Nxg6', 'Qd1+'], ['Kh2', 'fxg6'], ['Qxa6', 'Qd2'], ['Qb6', 'h5'], ['h4', 'Qd5\n'], ['a4', 'g5'], ['Qb5', 'Qd6+'], ['g3', 'Qf6'], ['Qe2', 'gxh4'], ['Qxh5+', 'Kg8'], ['Qe8+', 'Kh7'], ['Qxe4+', '']]",1-0
New York op,New York,1994.??.??,6,"Wojtkiewicz, Aleksander","Wolff, Patrick G",,,E08,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'c6'], ['Qc2', 'b6'], ['O-O', 'Bb7\n'], ['Bf4', 'Nbd7'], ['Nc3', 'O-O'], ['Rfd1', 'dxc4'], ['Nd2', 'Nd5'], ['Nxc4', 'Nxf4'], ['gxf4', 'g6'], ['e3', 'Nf6\n'], ['a3', 'Nd5'], ['Rac1', 'Rc8'], ['Ne5', 'Kg7'], ['Qa4', 'a6'], ['Qb3', 'Rc7'], ['Na4', 'b5'], ['Nc5', 'Bc8\n'], ['Rd2', 'a5'], ['Qd1', 'Qe8'], ['Rdc2', 'f6'], ['Ned3', 'Ra7'], ['Ne4', 'Bd7'], ['Nec5', 'Bc8'], ['Qe1', 'Qd8\n'], ['Qf1', 'Re8'], ['Kh1', 'Bf8'], ['Bf3', 'Kh8'], ['Ne4', 'Bd7'], ['Qg2', 'Qe7'], ['Nec5', 'Bc8'], ['Qg3', 'Bg7\n'], ['Bg2', 'Qf8'], ['h4', 'Qe7'], ['Bf3', 'Rg8'], ['Ne4', 'Bd7'], ['Nec5', 'Be8'], ['Rg1', 'Bf7'], ['Qh2', 'Bh6\n'], ['h5', 'g5'], ['fxg5', 'Bxg5'], ['Ne4', 'Bh6'], ['Rxg8+', 'Bxg8'], ['Rxc6', 'b4'], ['Nec5', 'bxa3'], ['bxa3', 'Ra8\n'], ['Qd6', 'Qg7'], ['Bxd5', 'Qg4'], ['Bg2', 'Qxh5+'], ['Kg1', 'Qd1+'], ['Kh2', '']]",1-0
PCA-op,New York,1994.??.??,6,"Gurevich, Ilya","Wolff, Patrick G",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['Kh1', 'Nbd7'], ['g4', 'h6'], ['g5', 'hxg5'], ['Bxg5', 'Re8'], ['Rg1', 'Nf8'], ['Qd2', 'Be6'], ['Bf3', 'Rc8\n'], ['h4', 'N6h7'], ['Bh6', 'Bf6'], ['h5', 'Kh8'], ['Be3', 'Qd7'], ['Rad1', 'Bxb3'], ['Rg3', 'Be6'], ['Rdg1', 'g5\n'], ['Rxg5', 'Nxg5'], ['Bxg5', 'Qe7'], ['Bh4', 'Nh7'], ['Bg3', 'Bh4'], ['Bh2', 'Rg8'], ['Rd1', 'Rcd8'], ['Nd5', 'Qg5\n'], ['Qe2', 'Bg4'], ['Rg1', 'Nf6'], ['Ne7', 'Qxh5'], ['Rxg4', 'Nxg4'], ['Nf5', 'Bf6'], ['Bxg4', 'Qxg4'], ['f3', 'Qh3\n'], ['Ne3', 'Bg5'], ['Nd5', 'Rg6'], ['f4', 'Bxf4'], ['Nxf4', 'exf4']]",0-1
New York op,New York,1994.??.??,7,"Wolff, Patrick G","Fang, Joseph",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['a4', 'Rb8\n'], ['axb5', 'axb5'], ['c3', 'd5'], ['exd5', 'Nxd5'], ['Nxe5', 'Nxe5'], ['Rxe5', 'Nf6'], ['d4', 'Bd6'], ['Re2', 'c5\n'], ['Nd2', 'Qc7'], ['Nf1', 'c4'], ['Bc2', 'b4'], ['Re1', 'Ng4'], ['g3', 'f5'], ['Nd2', 'Bb7'], ['Nxc4', 'Nxf2\n'], ['Kxf2', 'f4'], ['g4', 'Qd8'], ['Nxd6', 'Qh4+'], ['Ke2', 'f3+'], ['Kd3', 'f2'], ['Be3', 'fxe1=N+'], ['Qxe1', 'Qxg4\n'], ['Qg3', 'Qd7'], ['Bb3+', 'Kh8'], ['Nf7+', 'Rxf7'], ['Qxb8+', 'Bc8'], ['Bxf7', 'Qf5+'], ['Kd2', '']]",1-0
New York op,New York,1994.??.??,8,"Sherzer, Alex","Wolff, Patrick G",,,B93,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'e5'], ['Nf3', 'Nbd7'], ['a4', 'Be7\n'], ['Bd3', 'O-O'], ['O-O', 'Nc5'], ['Kh1', 'exf4'], ['Bxf4', 'Bg4'], ['Qe1', 'Rc8'], ['Qg3', 'Bh5'], ['Be3', 'Bg6\n'], ['Bd4', 'Re8'], ['Rae1', 'Qd7'], ['b3', 'Bd8'], ['Nh4', 'Nh5'], ['Qf2', 'Nxd3'], ['cxd3', 'Nf6'], ['h3', 'Qe6\n'], ['Bxf6', 'Qxf6'], ['Qxf6', 'Bxf6'], ['Rxf6', 'gxf6'], ['Nd5', 'Kg7'], ['Rf1', 'Rc2'], ['a5', 'Rec8'], ['Kh2', 'R8c5\n'], ['Nxf6', 'Rxa5'], ['Ne8+', 'Kf8'], ['Nxd6', 'Ke7'], ['Nc4', 'Raa2'], ['Ne3', 'Rf2'], ['Rc1', 'Kd7'], ['Kg3', 'Rfb2\n'], ['Nf3', 'Rxb3'], ['Kf4', 'f6'], ['Nd5', 'Rxd3'], ['Rc7+', 'Kd6'], ['Rxb7', 'Bxe4'], ['Kxe4', 'Rxd5'], ['Rb6+', 'Kc5\n'], ['Rxf6', 'Re2+'], ['Kf4', 'Rd6'], ['Rf7', 'h6'], ['g4', 'a5'], ['h4', 'a4'], ['g5', 'a3'], ['Ra7', 'a2'], ['gxh6', 'Rxh6']]",0-1
New York op,New York,1994.??.??,9,"Wolff, Patrick G","Gurevich, Dmitry",,,B89,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'e6'], ['Be3', 'Be7'], ['Qe2', 'a6\n'], ['Bb3', 'Qc7'], ['O-O-O', 'Na5'], ['g4', 'b5'], ['g5', 'Nxb3+'], ['axb3', 'Nd7'], ['h4', 'b4'], ['Na4', 'Nc5\n'], ['h5', 'Bd7'], ['Kb1', 'Bxa4'], ['bxa4', 'Qb7'], ['g6', 'Bf6'], ['f3', 'Rc8'], ['b3', 'hxg6'], ['hxg6', 'Rxh1\n'], ['gxf7+', 'Kxf7'], ['Rxh1', 'Nxe4'], ['fxe4', 'Qxe4'], ['Qf3', 'Qxf3'], ['Nxf3', 'Rc3'], ['Re1', 'e5\n'], ['Ng5+', 'Ke7'], ['Ne4', 'Rc6'], ['a5', 'd5'], ['Nxf6', 'gxf6'], ['Bd2', 'd4'], ['Bxb4+', 'Ke6'], ['c3', 'dxc3\n'], ['Kc2', 'f5'], ['Bxc3', 'e4'], ['Rh1', 'Kf7'], ['Rh7+', 'Kg6'], ['Rb7', 'Kg5'], ['Rb6', 'Rc8'], ['Rxa6', 'f4\n'], ['Kd2', 'e3+'], ['Kd3', 'f3'], ['Bd4', 'e2'], ['Bf2', 'Rc1'], ['Ke4', 'Rf1'], ['Ke3', 'Kg4'], ['Rg6+', 'Kf5\n'], ['Rb6', 'Ke5'], ['a6', 'Kd5'], ['b4', '']]",1-0
PCA-op,New York,1994.??.??,11,"Van Wely, Loek","Wolff, Patrick G",,,A37,"[['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'd6'], ['d3', 'Rb8'], ['Rb1', 'a6'], ['a4', 'Bd7'], ['Bd2', 'Nf6\n'], ['O-O', 'O-O'], ['e3', 'Nb4'], ['Qe2', 'Qc7'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nf3', 'Rbc8'], ['b3', 'd5\n'], ['cxd5', 'Nfxd5'], ['Nxd5', 'Nxd5'], ['Rfc1', 'Qd6'], ['Ng5', 'Bc6'], ['b4', 'Bxa4'], ['Rxc8', 'Rxc8\n'], ['Qf3', 'Nf6'], ['Qxb7', 'Rc7'], ['Qb8+', 'Bf8'], ['Be1', 'Bb5'], ['Ra1', 'Kg7'], ['Qa8', 'Qd3'], ['Ne4', 'Nxe4\n'], ['Qxe4', 'Qd6'], ['Qb1', 'Be7'], ['Qb2', 'f6'], ['Rc1', 'Rxc1'], ['Qxc1', 'Qd3'], ['Qc3', 'e4'], ['h4', 'Kf7\n'], ['Qc1', 'f5'], ['Bc3', 'Qc4'], ['Qd2', 'Ke6'], ['f3', 'exf3'], ['Bh3', 'Bd6'], ['Kf2', 'Qe2+'], ['Qxe2', 'Bxe2\n'], ['g4', 'Be7'], ['gxf5+', 'gxf5'], ['e4', 'Bxh4+'], ['Ke3', 'Bg5+'], ['Kf2', 'h5'], ['Bxf5+', 'Ke7'], ['e5', 'Bf4\n'], ['Bd4', 'h4'], ['Bc5+', 'Kd8'], ['e6', 'Bg5'], ['Bg4', 'Be7'], ['Bb6+', 'Ke8'], ['Bxf3', 'Bxf3'], ['Kxf3', 'Bxb4\n'], ['Kg4', 'Ke7'], ['Kxh4', 'Kxe6'], ['Kg4', 'Kd6']]",1/2-1/2
World op,Philadelphia,1994.??.??,?,"Pakkanen, Jukka","Wolff, Patrick G",,,B91,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['g3', 'e5'], ['Nde2', 'Nbd7'], ['Bg2', 'b5\n'], ['Nd5', 'Nxd5'], ['Qxd5', 'Nb6'], ['Qd3', 'Be6'], ['O-O', 'Qc7'], ['b3', 'Be7'], ['f4', 'O-O'], ['f5', 'Bd7\n'], ['g4', 'Rac8'], ['c3', 'Rfd8'], ['g5', 'Bf8'], ['Qg3', 'g6'], ['Ba3', 'Bc6'], ['Qh4', 'b4'], ['Bxb4', 'Bb5\n'], ['Rae1', 'a5'], ['Ba3', 'Bxe2'], ['Rxe2', 'Qxc3'], ['Ref2', 'Rc7'], ['Rf3', 'Qd4+'], ['Kh1', 'Be7'], ['fxg6', 'fxg6\n'], ['Qh6', '']]",1-0
World op,Philadelphia,1994.??.??,?,"Wolff, Patrick G","Manion, Josh",,,B08,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['Be2', 'Nf6'], ['Nc3', 'O-O'], ['O-O', 'Bg4'], ['a4', 'Nc6'], ['a5', 'e5\n'], ['d5', 'Ne7'], ['a6', 'b6'], ['Ne1', 'Bd7'], ['Nd3', 'c6'], ['dxc6', 'Bxc6'], ['Bf3', 'Rc8'], ['Nb4', 'Ba8\n'], ['Qd3', 'Qd7'], ['Rd1', 'Rfd8'], ['Bg5', 'Nc6'], ['Nbd5', 'Nxd5'], ['Nxd5', 'Rf8'], ['c3', 'f6'], ['Be3', 'Rcd8\n'], ['Rd2', 'Rf7'], ['Bd1', 'Kh8'], ['Bb3', 'Rff8'], ['Rad1', 'f5'], ['f3', 'f4'], ['Bf2', 'g5'], ['Ba4', 'Qf7\n'], ['Qe2', 'Rg8'], ['b4', 'Bf8'], ['Qc4', 'Rc8'], ['Nxb6', 'Qxc4'], ['Nxc4', 'Nxb4'], ['Bb3', 'Nxa6'], ['Nxd6', 'Bxd6\n'], ['Rxd6', 'Nc7'], ['Bxg8', 'Rxg8'], ['Rd8', 'Bc6']]",1-0
Harvard Cup,Boston,1995.??.??,?,Comp WChess,"Wolff, Patrick G",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['d4', 'c6'], ['Nf3', 'Nf6'], ['Ne5', 'Be6'], ['Bc4', 'Bxc4'], ['Nxc4', 'Qa6\n'], ['Qe2', 'e6'], ['O-O', 'Nd5'], ['Ne4', 'Nd7'], ['Ncd6+', 'Bxd6'], ['Nxd6+', 'Ke7'], ['Qxa6', 'bxa6'], ['Ne4', 'N5f6\n'], ['Nxf6', 'Nxf6'], ['c4', 'Rhd8'], ['Rd1', 'c5'], ['Be3', 'Ng4'], ['dxc5', 'Nxe3'], ['fxe3', 'Rxd1+'], ['Rxd1', 'a5\n'], ['c6', 'Rd8'], ['Rxd8', 'Kxd8'], ['Kf2', 'Kc7'], ['Ke2', 'Kxc6'], ['Kd2', 'Kc5'], ['Kd3', 'a4'], ['e4', 'f6\n'], ['Kc3', 'g6'], ['g4', 'a6'], ['Kd3', 'a5'], ['Kc3', 'h5'], ['gxh5', 'gxh5'], ['h4', 'a3'], ['bxa3', 'a4'], ['Kd3', 'f5\n'], ['e5', 'f4'], ['Kc3', 'f3'], ['Kd3', 'f2'], ['Ke2', 'Kxc4'], ['Kxf2', 'Kd4'], ['Kf3', 'Kxe5'], ['Ke3', 'Kf5\n'], ['Kf3', 'e5'], ['Ke3', 'Kg4'], ['Ke4', 'Kxh4'], ['Kxe5', 'Kg3'], ['Kd4', 'h4'], ['Kc5', 'h3'], ['Kb5', 'h2\n'], ['Kxa4', '']]",0-1
Harvard Cup,Boston,1995.??.??,?,"Wolff, Patrick G",Comp Junior,,,C00,"[['e4', 'e6'], ['d3', 'Nc6'], ['g3', 'd5'], ['Nd2', 'Ke7'], ['Bg2', 'Nf6'], ['exd5', 'exd5'], ['Ngf3', 'Bg4'], ['O-O', 'Kd7\n'], ['h3', 'Be6'], ['Nb3', 'Kc8'], ['a4', 'Bd6'], ['a5', 'a6'], ['Nfd4', 'Re8'], ['Nxc6', 'bxc6'], ['Be3', 'Qd7\n'], ['Kh2', 'h5'], ['Nc5', 'Bxc5'], ['Bxc5', 'h4'], ['g4', 'Qd8'], ['Bd4', 'Rb8'], ['Qd2', 'Qd6+'], ['f4', 'Qd8\n'], ['f5', 'Bd7'], ['Kh1', 'Rh8'], ['b4', 'Re8'], ['Rae1', 'Kb7'], ['Qf2', 'Ka8'], ['c3', 'Rh8'], ['Qf4', 'Kb7\n'], ['Re2', 'Ka8'], ['Rfe1', 'Kb7'], ['Bc5', 'Qc8'], ['Re7', 'Qg8'], ['Kg1', 'Re8'], ['b5', 'axb5'], ['a6+', 'Kc8\n'], ['Qd4', 'Qh7'], ['Bb4', 'Kb8'], ['Bd6', 'Ka8'], ['Bxc7', 'Rb8'], ['Bxb8', 'Rxb8']]",1-0
Harvard Cup,Boston,1995.??.??,?,"Wolff, Patrick G",Comp Virtual Chess,,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['d4', 'Bg4'], ['Nf3', 'Qxd5'], ['Be2', 'Nc6'], ['h3', 'Bf5'], ['O-O', 'O-O-O'], ['c4', 'Qa5\n'], ['Nc3', 'e6'], ['Be3', 'Qb4'], ['Qc1', 'h6'], ['a3', 'Qb3'], ['Rd1', 'Be7'], ['Rd2', 'Bg6'], ['Bd1', 'Qxc4\n'], ['b3', 'Qa6'], ['Be2', 'Qa5'], ['b4', 'Qh5'], ['Ne5', 'Qh4'], ['Nb5', 'Be4'], ['f3', 'a6'], ['Nc3', 'Nxe5\n'], ['dxe5', 'Rxd2'], ['Qxd2', 'Rd8'], ['Qc1', 'Bd3'], ['exf6', 'Bxf6'], ['Bxd3', 'Rxd3'], ['Bf2', 'Rxc3\n'], ['Bxh4', 'Rxc1+'], ['Rxc1', 'Bxh4'], ['Kf1', 'Bg3'], ['Ke2', 'e5'], ['Kd3', 'f5'], ['a4', 'h5'], ['b5', 'axb5\n'], ['axb5', 'h4'], ['Ra1', 'Kb8'], ['Kc4', 'c6'], ['Ra2', 'Bf4'], ['Kc5', 'cxb5'], ['Kxb5', 'Be3'], ['Kc4', 'f4\n'], ['Kd5', 'Bd4'], ['Rc2', 'g6'], ['Rc1', 'Bb2'], ['Rb1', 'Bd4'], ['Ke6', 'Kc7'], ['Rc1+', 'Kd8'], ['Kf7', 'g5\n'], ['Kg6', 'g4'], ['hxg4', 'b5'], ['Rb1', 'Kd7'], ['Rxb5', 'Kc6'], ['Rb8', 'Kc7'], ['Rf8', 'Kd7'], ['Kf5', 'Ke7\n'], ['Rh8', 'Kf7'], ['Rxh4', 'Kg7'], ['Rh5', 'Kf8'], ['g5', 'Kg7'], ['g6', 'Kg8'], ['Rh7', 'Bb2'], ['Re7', 'Bc3\n'], ['Rxe5', 'Bxe5']]",1-0
Harvard Cup,Boston,1995.??.??,?,Comp Socrates 95,"Wolff, Patrick G",,,D27,"[['d4', 'd5'], ['c4', 'dxc4'], ['Nf3', 'a6'], ['e3', 'Nf6'], ['Bxc4', 'e6'], ['O-O', 'c5'], ['b3', 'Nc6'], ['Bb2', 'cxd4\n'], ['Nxd4', 'Bd7'], ['Nd2', 'Be7'], ['Bd3', 'O-O'], ['Ne4', 'Rc8'], ['Rc1', 'Qa5'], ['Nxf6+', 'Bxf6'], ['Nxc6', 'Bxc6\n'], ['Bxf6', 'gxf6'], ['Qg4+', 'Qg5'], ['h3', 'Rfd8'], ['Rfd1', 'Kg7'], ['Rc5', 'Rd5'], ['Rxd5', 'Bxd5'], ['e4', 'Qxg4\n'], ['hxg4', 'Bc6'], ['Rc1', 'Kf8'], ['f3', 'Ke7'], ['Kf2', 'e5'], ['Rh1', 'Bb5'], ['Bxb5', 'axb5'], ['Re1', 'Rc2+\n'], ['Re2', 'Rc1'], ['Ke3', 'Rc3+'], ['Kd2', 'b4'], ['Re1', 'Rc6'], ['Rc1', 'Rxc1'], ['Kxc1', 'Kd6'], ['Kd2', 'Kc5\n'], ['Kd3', 'h6'], ['Ke3', 'Kd6'], ['Kd2', 'Kc5'], ['Kd3', 'Kb5'], ['g3', 'Kc5'], ['Ke3', 'b6'], ['f4', 'Kd6\n'], ['Kd2', 'Kc5'], ['Kd3', 'b5'], ['Ke3', 'Kd6'], ['Kd2', 'Kc5'], ['Kd3', 'Kd6'], ['Ke3', 'Kc5'], ['f5', 'Kd6\n'], ['Kd2', '']]",1/2-1/2
Harvard Cup,Boston,1995.??.??,?,Comp MChess Pro,"Wolff, Patrick G",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['d4', 'c6'], ['Nf3', 'Nf6'], ['Bc4', 'Bf5'], ['Bd2', 'e6'], ['Qe2', 'Bb4\n'], ['Ne5', 'Nbd7'], ['Nxd7', 'Kxd7'], ['a3', 'Nd5'], ['Qf3', 'Bxc3'], ['bxc3', 'Nb6'], ['Bd3', 'Qd5'], ['Qg3', 'Rhg8\n'], ['O-O', 'Rad8'], ['Rfe1', 'f6'], ['Bf4', 'Ke7'], ['Bc7', 'Rd7'], ['Bxb6', 'axb6'], ['c4', 'Qa5'], ['d5', 'Bxd3\n'], ['Qg4', 'Kd8'], ['dxe6', 'Re7'], ['cxd3', 'Qg5'], ['Qd4+', 'Kc7'], ['Rab1', 'Qc5'], ['Qf4+', 'Kc8'], ['Qe4', 'h6\n'], ['a4', 'Rd8'], ['Re3', 'Kc7'], ['Qg4', 'Qg5'], ['Qf3', 'Rd4'], ['Qd1', 'Qc5'], ['h3', 'Qf5'], ['Qb3', 'Qa5\n'], ['Rbe1', 'Qc5'], ['Qb2', 'Rd6'], ['Kh2', 'Qd4'], ['Qe2', 'Qf4+'], ['Kg1', 'Qf5'], ['Re4', 'Qc5'], ['Qc2', 'Qf5\n'], ['R1e3', 'h5'], ['Qe2', 'Qa5'], ['Qd1', 'Qf5'], ['Qe1', 'Qa5'], ['Qa1', 'Qf5'], ['Rf3', 'Qa5'], ['Rg3', 'Qf5\n'], ['Qe1', 'Kc8'], ['Rge3', 'Qa5'], ['Qd1', 'Kc7'], ['Re1', 'Qf5'], ['Qe2', 'Qa5'], ['Qe3', 'Qxa4'], ['c5', '']]",1-0
Harvard Cup,Boston,1995.??.??,?,"Wolff, Patrick G",Comp Chessmaster 4000,,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['Bxc6', 'dxc6'], ['O-O', 'Ne7'], ['Re1', 'Ng6'], ['e5', 'Be7'], ['d3', 'O-O\n'], ['Nc3', 'b6'], ['Qe2', 'Bd7'], ['Qe4', 'f5'], ['Qe2', 'b5'], ['b3', 'Qa5'], ['Bd2', 'Qc7'], ['g3', 'f4'], ['Kg2', 'Rf5\n'], ['g4', 'Rf7'], ['h3', 'b4'], ['Nd1', 'c4'], ['dxc4', 'c5'], ['Nb2', 'Bc6'], ['Kg1', 'Qb7'], ['Nh2', 'Nh4\n'], ['Nd3', 'Bf3'], ['Nxf3', 'Nxf3+'], ['Kf1', 'Rd8'], ['Rad1', 'Nxd2+']]",0-1
